Season,Name,WAR,playerid
1923,Babe Ruth,15,1011327
1921,Babe Ruth,13.9,1011327
1920,Babe Ruth,13.3,1011327
1927,Babe Ruth,13,1011327
1924,Babe Ruth,12.5,1011327
1926,Babe Ruth,12,1011327
1948,Stan Musial,11.1,1009405
1931,Babe Ruth,10.7,1011327
1928,Babe Ruth,10.6,1011327
1930,Babe Ruth,10.5,1011327
2018,Mookie Betts,10.4,13611
1943,Stan Musial,9.9,1009405
2001,Sammy Sosa,9.9,302
1919,Babe Ruth,9.4,1011327
1911,Joe Jackson,9.3,1006301
1944,Stan Musial,9.3,1009405
2015,Bryce Harper,9.3,11579
1923,Harry Heilmann,9.2,1005590
1949,Stan Musial,9.2,1009405
1912,Joe Jackson,9.1,1006301
1997,Larry Walker,9.1,455
1969,Reggie Jackson,8.9,1006308
1961,Hank Aaron,8.9,1000001
1946,Stan Musial,8.8,1009405
1932,Babe Ruth,8.7,1011327
1938,Mel Ott,8.7,1009904
1945,Tommy Holmes,8.7,1005980
2004,J.D. Drew,8.6,1152
1951,Stan Musial,8.6,1009405
1963,Hank Aaron,8.4,1000001
2017,Aaron Judge,8.3,15640
2016,Mookie Betts,8.3,13611
2011,Matt Kemp,8.3,5631
1959,Hank Aaron,8.2,1000001
1962,Frank Robinson,8.2,1011066
1966,Frank Robinson,8.2,1011066
2011,Jose Bautista,8.1,1887
1962,Hank Aaron,8.1,1000001
1932,Mel Ott,8.1,1009904
2007,Magglio Ordonez,8,248
1961,Rocky Colavito,8,1002404
1929,Mel Ott,8,1009904
1936,Mel Ott,7.9,1009904
2007,Curtis Granderson,7.9,4747
1979,Dave Winfield,7.8,1014127
1952,Stan Musial,7.8,1009405
1929,Babe Ruth,7.8,1011327
1961,Al Kaline,7.7,1006678
1930,Babe Herman,7.7,1005691
1967,Roberto Clemente,7.7,1002340
1920,Joe Jackson,7.7,1006301
1935,Mel Ott,7.7,1009904
1977,Dave Parker,7.7,1010000
1886,King Kelly,7.6,1006806
1969,Hank Aaron,7.6,1000001
1965,Hank Aaron,7.6,1000001
1988,Jose Canseco,7.6,1001918
2001,Larry Walker,7.6,455
1957,Hank Aaron,7.6,1000001
1913,Joe Jackson,7.5,1006301
1933,Chuck Klein,7.5,1006991
1953,Stan Musial,7.5,1009405
1986,Jesse Barfield,7.5,1000537
1894,Hugh Duffy,7.5,1003533
1925,Kiki Cuyler,7.5,1002914
1999,Manny Ramirez,7.5,210
1972,Bobby Murcer,7.4,1009338
1987,Tony Gwynn,7.4,1005166
1905,Mike Donlin,7.4,1003380
1927,Paul Waner,7.4,1013597
1973,Bobby Bonds,7.4,1001157
1897,Willie Keeler,7.4,1006747
1982,Andre Dawson,7.4,1003091
1955,Al Kaline,7.3,1006678
2003,Gary Sheffield,7.3,114
1934,Mel Ott,7.3,1009904
2000,Richard Hidalgo,7.3,561
2017,Giancarlo Stanton,7.3,4949
1954,Stan Musial,7.3,1009405
1969,Frank Robinson,7.3,1011066
1967,Hank Aaron,7.3,1000001
1943,Bill Nicholson,7.2,1009554
1960,Roger Maris,7.2,1008110
1966,Roberto Clemente,7.1,1002340
2002,Vladimir Guerrero,7.1,778
1968,Hank Aaron,7.1,1000001
1985,Willie McGee,7.1,1008513
1901,Elmer Flick,7.1,1004158
1963,Johnny Callison,7.1,1001851
1973,Reggie Jackson,7.1,1006308
1964,Frank Robinson,7.1,1011066
1928,Paul Waner,7.1,1013597
1998,Sammy Sosa,7.1,302
1971,Hank Aaron,7.1,1000001
2004,Ichiro Suzuki,7.1,1101
1936,Paul Waner,7.1,1013597
1961,Frank Robinson,7.1,1011066
1987,Dale Murphy,7.1,1009355
1961,Roger Maris,7.1,1008110
1985,Jesse Barfield,7,1000537
1969,Roberto Clemente,7,1002340
1967,Al Kaline,7,1006678
1960,Hank Aaron,7,1000001
1983,Dale Murphy,7,1009355
1884,Orator Shaffer,7,1011783
1930,Kiki Cuyler,7,1002914
1915,Gavvy Cravath,7,1002735
1963,Bob Allison,6.9,1000166
1927,Harry Heilmann,6.9,1005590
1966,Hank Aaron,6.9,1000001
1998,Brian Jordan,6.9,658
2011,Curtis Granderson,6.9,4747
2000,Bobby Abreu,6.9,945
2002,Brian Giles,6.9,990
1956,Hank Aaron,6.9,1000001
1930,Mel Ott,6.9,1009904
1932,Chuck Klein,6.9,1006991
2014,Giancarlo Stanton,6.8,4949
1921,Harry Heilmann,6.8,1005590
1978,Dave Parker,6.8,1010000
1998,Moises Alou,6.8,261
1958,Hank Aaron,6.8,1000001
1942,Enos Slaughter,6.8,1012060
1920,Ross Youngs,6.8,1014390
1964,Hank Aaron,6.8,1000001
1906,Elmer Flick,6.7,1004158
1933,Babe Ruth,6.7,1011327
1937,Mel Ott,6.7,1009904
1998,Vladimir Guerrero,6.7,778
1981,Andre Dawson,6.7,1003091
2001,Shawn Green,6.7,651
1999,Brian Giles,6.7,990
1968,Roberto Clemente,6.7,1002340
2019,Mookie Betts,6.6,13611
1958,Rocky Colavito,6.6,1002404
2017,Charlie Blackmon,6.6,7859
1957,Frank Robinson,6.6,1011066
1950,Stan Musial,6.6,1009405
1995,Reggie Sanders,6.6,1129
1981,Dwight Evans,6.6,1003865
1904,Elmer Flick,6.6,1004158
1932,Babe Herman,6.6,1005691
1908,Mike Donlin,6.6,1003380
2000,Gary Sheffield,6.6,114
1971,Roberto Clemente,6.5,1002340
1971,Bobby Murcer,6.5,1009338
2019,George Springer,6.5,12856
1916,Joe Jackson,6.5,1006301
2010,Jose Bautista,6.5,1887
1996,Gary Sheffield,6.5,114
1992,Gary Sheffield,6.5,114
1982,Dwight Evans,6.5,1003865
1998,Bobby Abreu,6.5,945
1983,Andre Dawson,6.5,1003091
1977,Reggie Smith,6.5,1012201
1922,Babe Ruth,6.5,1011327
1925,Harry Heilmann,6.5,1005590
1990,Darryl Strawberry,6.5,1012606
1944,Bill Nicholson,6.5,1009554
1975,Dave Parker,6.5,1010000
1930,Chuck Klein,6.4,1006991
1958,Al Kaline,6.4,1006678
2013,Shin-Soo Choo,6.4,3174
1906,Harry Lumley,6.4,1007830
1970,Tony Oliva,6.3,1009772
2000,Brian Giles,6.3,990
1942,Mel Ott,6.3,1009904
1934,Paul Waner,6.3,1013597
1999,Bobby Abreu,6.3,945
1984,Tony Gwynn,6.3,1005166
1900,Elmer Flick,6.3,1004158
1914,Steve Evans,6.3,1003870
1960,Frank Robinson,6.3,1011066
2011,Justin Upton,6.3,5222
1956,Al Kaline,6.3,1006678
1970,Reggie Smith,6.3,1012201
1895,Sam Thompson,6.3,1013024
1924,Ross Youngs,6.3,1014390
1924,Harry Heilmann,6.2,1005590
2000,Vladimir Guerrero,6.2,778
1964,Bob Allison,6.2,1000166
1968,Felipe Alou,6.2,1000177
1971,Reggie Jackson,6.2,1006308
1986,Tony Gwynn,6.2,1005166
1964,Tony Oliva,6.2,1009772
1971,Bobby Bonds,6.2,1001157
1959,Al Kaline,6.2,1006678
2014,Jose Bautista,6.2,1887
1988,Kirk Gibson,6.2,1004669
1969,Bobby Bonds,6.2,1001157
1931,Ben Chapman,6.1,1002141
1899,Chick Stahl,6.1,1012381
1975,Reggie Jackson,6.1,1006308
2007,Ichiro Suzuki,6.1,1101
1957,Stan Musial,6.1,1009405
2009,Franklin Gutierrez,6.1,3255
1969,Rusty Staub,6.1,1012440
1907,Elmer Flick,6.1,1004158
1890,Jimmy Wolf,6.1,1014195
1970,Bobby Tolan,6.1,1013100
1964,Roberto Clemente,6.1,1002340
2008,Nick Markakis,6.1,5930
1966,Felipe Alou,6.1,1000177
2010,Shin-Soo Choo,6.1,3174
1962,Rocky Colavito,6,1002404
2003,Richard Hidalgo,6,561
1930,Carl Reynolds,6,1010864
2001,Ichiro Suzuki,6,1101
