Season,Name,WAR,playerid
2001,David Eckstein,2.2,10
2002,David Eckstein,4.5,10
2003,David Eckstein,1.2,10
2004,David Eckstein,1.9,10
2005,David Eckstein,2.5,10
2006,David Eckstein,1.5,10
2007,David Eckstein,0.7,10
2008,David Eckstein,-0.1,10
2009,David Eckstein,0.7,10
2010,David Eckstein,1.5,10
1993,Benji Gil,-0.4,14
1995,Benji Gil,0.6,14
1996,Benji Gil,0,14
1997,Benji Gil,0.4,14
2000,Benji Gil,0.6,14
2001,Benji Gil,1.2,14
2002,Benji Gil,0.7,14
2003,Benji Gil,-1,14
1986,Jay Bell,0.1,48
1987,Jay Bell,-0.7,48
1988,Jay Bell,-0.9,48
1989,Jay Bell,0.7,48
1990,Jay Bell,2,48
1991,Jay Bell,4.4,48
1992,Jay Bell,4.2,48
1993,Jay Bell,6.6,48
1994,Jay Bell,3.6,48
1995,Jay Bell,1,48
1996,Jay Bell,2,48
1997,Jay Bell,5.4,48
1998,Jay Bell,3.4,48
1999,Jay Bell,4.7,48
2000,Jay Bell,1.3,48
2001,Jay Bell,0.9,48
2002,Jay Bell,-0.1,48
2003,Jay Bell,-0.8,48
2001,Alex Cintron,0.1,50
2002,Alex Cintron,0,50
2003,Alex Cintron,2.1,50
2004,Alex Cintron,-1,50
2005,Alex Cintron,-0.2,50
2006,Alex Cintron,-0.3,50
2007,Alex Cintron,-1.2,50
2008,Alex Cintron,-0.7,50
2009,Alex Cintron,-0.5,50
1995,Craig Counsell,0,52
1997,Craig Counsell,1.1,52
1998,Craig Counsell,1.8,52
1999,Craig Counsell,-0.3,52
2000,Craig Counsell,1.4,52
2001,Craig Counsell,2,52
2002,Craig Counsell,1.9,52
2003,Craig Counsell,0.3,52
2004,Craig Counsell,1.3,52
2005,Craig Counsell,2.8,52
2006,Craig Counsell,0.9,52
2007,Craig Counsell,0.6,52
2008,Craig Counsell,0.7,52
2009,Craig Counsell,2.2,52
2010,Craig Counsell,0.4,52
2011,Craig Counsell,0.4,52
1993,Tony Womack,-0.3,78
1994,Tony Womack,0.1,78
1996,Tony Womack,0.3,78
1997,Tony Womack,-0.9,78
1998,Tony Womack,0.7,78
1999,Tony Womack,0.6,78
2000,Tony Womack,0,78
2001,Tony Womack,1,78
2002,Tony Womack,0.7,78
2003,Tony Womack,-1.5,78
2004,Tony Womack,2.8,78
2005,Tony Womack,-2.3,78
2006,Tony Womack,0.4,78
1982,Julio Franco,0,87
1983,Julio Franco,1.1,87
1984,Julio Franco,2.1,87
1985,Julio Franco,1.6,87
1986,Julio Franco,2.7,87
1987,Julio Franco,3.1,87
1988,Julio Franco,3.1,87
1989,Julio Franco,5.5,87
1990,Julio Franco,5.9,87
1991,Julio Franco,5.9,87
1992,Julio Franco,-0.3,87
1993,Julio Franco,1.7,87
1994,Julio Franco,3.1,87
1996,Julio Franco,2.9,87
1997,Julio Franco,0.5,87
1999,Julio Franco,0,87
2001,Julio Franco,0.8,87
2002,Julio Franco,0.7,87
2003,Julio Franco,0.2,87
2004,Julio Franco,1.2,87
2005,Julio Franco,0.5,87
2006,Julio Franco,-0.1,87
2007,Julio Franco,0,87
2000,Rafael Furcal,3.3,88
2001,Rafael Furcal,0.6,88
2002,Rafael Furcal,2.7,88
2003,Rafael Furcal,4,88
2004,Rafael Furcal,2.8,88
2005,Rafael Furcal,4.5,88
2006,Rafael Furcal,3.8,88
2007,Rafael Furcal,1.4,88
2008,Rafael Furcal,2,88
2009,Rafael Furcal,3,88
2010,Rafael Furcal,4.1,88
2011,Rafael Furcal,0.5,88
2012,Rafael Furcal,0.7,88
2014,Rafael Furcal,-0.2,88
1992,Alex Arias,0.3,123
1993,Alex Arias,0,123
1994,Alex Arias,-0.2,123
1995,Alex Arias,0.9,123
1996,Alex Arias,1.1,123
1997,Alex Arias,-0.1,123
1998,Alex Arias,0.2,123
1999,Alex Arias,0.4,123
2000,Alex Arias,-0.8,123
2001,Alex Arias,-0.2,123
2002,Alex Arias,-0.1,123
1990,Mike Bordick,-0.1,129
1991,Mike Bordick,0.2,129
1992,Mike Bordick,3.8,129
1993,Mike Bordick,0.9,129
1994,Mike Bordick,0.8,129
1995,Mike Bordick,2.1,129
1996,Mike Bordick,-0.3,129
1997,Mike Bordick,1.1,129
1998,Mike Bordick,3.5,129
1999,Mike Bordick,4.4,129
2000,Mike Bordick,2,129
2001,Mike Bordick,0.4,129
2002,Mike Bordick,1.4,129
2003,Mike Bordick,1.8,129
1996,Nomar Garciaparra,0.1,190
1997,Nomar Garciaparra,6.4,190
1998,Nomar Garciaparra,7.3,190
1999,Nomar Garciaparra,6.3,190
2000,Nomar Garciaparra,7.6,190
2001,Nomar Garciaparra,0.3,190
2002,Nomar Garciaparra,4.8,190
2003,Nomar Garciaparra,5.8,190
2004,Nomar Garciaparra,1.5,190
2005,Nomar Garciaparra,0.3,190
2006,Nomar Garciaparra,2,190
2007,Nomar Garciaparra,-1,190
2008,Nomar Garciaparra,0.2,190
2009,Nomar Garciaparra,-0.1,190
1990,Jose Offerman,-0.8,205
1991,Jose Offerman,-0.2,205
1992,Jose Offerman,0.6,205
1993,Jose Offerman,1.4,205
1994,Jose Offerman,-1.3,205
1995,Jose Offerman,1.8,205
1996,Jose Offerman,2.1,205
1997,Jose Offerman,1.4,205
1998,Jose Offerman,4.6,205
1999,Jose Offerman,2.8,205
2000,Jose Offerman,0.4,205
2001,Jose Offerman,1.4,205
2002,Jose Offerman,-0.2,205
2004,Jose Offerman,0.3,205
2005,Jose Offerman,-0.3,205
1991,Rey Sanchez,0.3,213
1992,Rey Sanchez,0.9,213
1993,Rey Sanchez,1.6,213
1994,Rey Sanchez,0.7,213
1995,Rey Sanchez,0.3,213
1996,Rey Sanchez,0.1,213
1997,Rey Sanchez,-0.3,213
1998,Rey Sanchez,1.7,213
1999,Rey Sanchez,2.9,213
2000,Rey Sanchez,1.7,213
2001,Rey Sanchez,2.6,213
2002,Rey Sanchez,1.1,213
2003,Rey Sanchez,0.3,213
2004,Rey Sanchez,1,213
2005,Rey Sanchez,-0.2,213
1991,Royce Clayton,-0.5,226
1992,Royce Clayton,0.6,226
1993,Royce Clayton,2.2,226
1994,Royce Clayton,2.2,226
1995,Royce Clayton,2.4,226
1996,Royce Clayton,1.9,226
1997,Royce Clayton,2.9,226
1998,Royce Clayton,1.4,226
1999,Royce Clayton,2.8,226
2000,Royce Clayton,-0.9,226
2001,Royce Clayton,1.7,226
2002,Royce Clayton,1,226
2003,Royce Clayton,-0.8,226
2004,Royce Clayton,1.2,226
2005,Royce Clayton,0.1,226
2006,Royce Clayton,-0.3,226
2007,Royce Clayton,0.2,226
1992,Jose Valentin,-0.1,256
1993,Jose Valentin,0.2,256
1994,Jose Valentin,2.2,256
1995,Jose Valentin,0.5,256
1996,Jose Valentin,4,256
1997,Jose Valentin,1.5,256
1998,Jose Valentin,1.5,256
1999,Jose Valentin,0,256
2000,Jose Valentin,4.5,256
2001,Jose Valentin,3.3,256
2002,Jose Valentin,3.5,256
2003,Jose Valentin,3.9,256
2004,Jose Valentin,2.2,256
2005,Jose Valentin,0.1,256
2006,Jose Valentin,3,256
2007,Jose Valentin,0.1,256
1994,Alex Gonzalez,0,281
1995,Alex Gonzalez,0.3,281
