pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,4/23/2021,87.3,1.56,6.21,"Tatis Jr., Fernando",665487,477132,home_run,hit_into_play,,,,,1,Fernando Tatis Jr.  homers (4) on a fly ball to left field.,R,R,L,LAD,SD,X,,fly_ball,3,1,2021,-0.55,0.86,-0.32,2.9,,,,2,5,Top,11.89,71.88,,,605131,,,-3.391276021,-127.0356485,-3.494893076,-5.076340559,29.53076741,-22.33316523,3.49,1.6,419,115.9,27,86.3,2745,5.9,634370,477132,605131,621458,571970,457759,608369,572041,605141,670042,54.56,1,1.98,2,1,0,3,6,36,5,Slider,1,2,2,1,3,1,3,1,Infield shift,Standard,195,-0.127,0.936
FF,4/23/2021,90.9,1.94,6.2,"Stanton, Giancarlo",519317,663531,home_run,hit_into_play,,,,,4,Giancarlo Stanton homers (4) on a line drive to left field.,R,R,L,CLE,NYY,X,,line_drive,2,1,2021,0.39,1.21,-0.36,2.85,,,,0,3,Top,23.83,57.4,,,547379,,,-6.584314639,-132.3443256,-5.129730403,5.847943587,24.65923198,-17.05668365,3.66,1.68,429,118,18,91.2,1856,6.2,634437,663531,547379,644374,514917,608070,665926,592696,642708,656669,54.34,0.934,1.503,2,1,0,3,6,21,4,4-Seam Fastball,3,3,3,3,4,3,4,3,Standard,Standard,147,-0.117,0.959
FF,4/23/2021,97.9,-1.97,5.73,"Stanton, Giancarlo",519317,663986,home_run,hit_into_play,,,,,5,Giancarlo Stanton homers (5) on a line drive to right center field.,R,R,R,CLE,NYY,X,,line_drive,0,2,2021,-0.59,1.08,-0.18,2.64,,,,1,5,Top,179.77,38.54,,,547379,,,6.224066545,-142.38764,-5.374477521,-9.466187756,32.26290949,-16.43254442,3.66,1.68,418,115.7,19,98.3,2468,6.5,634437,663986,547379,644374,514917,608070,665926,592696,642708,656669,54,0.963,1.654,2,1,0,3,6,37,3,4-Seam Fastball,3,4,4,3,5,3,5,3,Standard,Standard,218,-0.123,1.065
SI,4/21/2021,92.2,-2.06,5.94,"Upton, Justin",457708,592314,home_run,hit_into_play,,,,,7,Justin Upton homers (4) on a line drive to left field.,R,R,R,LAA,TEX,X,,line_drive,3,1,2021,-1.36,0.97,-0.33,1.97,,,,0,4,Bot,25.54,87.22,,,641680,,,7.323624832,-133.9993027,-6.358343622,-17.95723008,28.19075255,-19.33774652,3.41,1.56,370,116.5,18,92.2,2198,6.3,634430,592314,641680,663993,669256,518586,643396,642201,665750,608336,54.21,0.937,1.507,2,1,0,3,6,31,5,Sinker,2,1,2,1,1,3,3,1,Standard,Standard,217,0.103,0.837
FF,4/21/2021,92.8,2.11,5.99,"Alonso, Pete",624413,571521,home_run,hit_into_play,,,,,2,Pete Alonso homers (3) on a fly ball to left field.   Francisco Lindor scores.,R,R,L,CHC,NYM,X,,fly_ball,0,0,2021,0.51,1.68,0.01,3.09,,,596019,0,5,Top,36.19,49.29,,,575929,,,-6.466772966,-134.9456098,-5.228690578,7.755695993,31.90164114,-10.730926,3.49,1.6,429,115.4,28,92,2081,6,634453,571521,575929,519203,623520,622110,595879,664023,545350,592178,54.48,1,1.982,2,1,0,3,6,40,1,4-Seam Fastball,7,2,2,7,4,7,4,7,Infield shift,Standard,144,-0.077,1.583
FF,4/20/2021,91.7,-0.89,6.21,"Trout, Mike",545361,543475,home_run,hit_into_play,,,,,5,Mike Trout homers (5) on a fly ball to left center field.,R,R,R,LAA,TEX,X,,fly_ball,3,2,2021,-0.83,1.56,0.18,2.24,,,,1,6,Bot,44.26,37.14,,,624431,,,4.546731898,-133.3010888,-7.583339236,-10.84468586,30.24382348,-12.13799246,3.47,1.59,446,115.5,25,92.3,2385,6.9,634398,543475,624431,663993,669256,571788,643396,621311,666969,608336,53.65,1,1.975,2,1,0,3,6,47,6,4-Seam Fastball,2,1,2,1,1,3,3,1,Infield shift,Standard,210,0.115,0.96
FF,4/20/2021,92.5,-0.56,6.1,"Abreu, José",547989,668676,home_run,hit_into_play,,,,,4,Jose Abreu homers (3) on a fly ball to left field.,R,R,R,CLE,CWS,X,,fly_ball,0,1,2021,-0.75,1.76,-0.59,2.87,,,,1,4,Top,14.24,49.44,,,547379,,,1.564242208,-134.5681396,-6.250907048,-9.395827253,30.05236131,-9.668897363,3.49,1.6,458,115.6,25,92.3,2036,6.2,634397,668676,547379,644374,514917,608070,642708,592696,656669,647304,54.27,1,1.975,2,1,0,3,6,27,2,4-Seam Fastball,1,2,2,1,3,1,3,1,Standard,Standard,207,-0.115,1.026
SI,4/20/2021,93.7,-1.93,6.15,"Young, Andrew",670370,622088,home_run,hit_into_play,,,,,9,Andrew Young homers (2) on a fly ball to center field.,R,R,R,CIN,ARI,X,,fly_ball,2,1,2021,-1.18,1.48,0.3,2.17,,,,0,8,Top,99.96,23.41,,,571466,,,8.349646275,-136.0520388,-7.798047101,-16.50889789,29.56136638,-12.23215482,3.49,1.6,414,115.9,17,93.6,2770,6.3,634408,622088,571466,458015,663697,571657,553993,608385,669222,571980,54.19,0.909,1.355,2,1,0,3,6,68,4,Sinker,4,3,3,4,4,4,4,4,Standard,Standard,224,-0.253,0.959
FF,4/10/2021,93.9,-1.43,6.28,"Harper, Bryce",547180,666120,home_run,hit_into_play,,,,,5,Bryce Harper homers (1) on a line drive to right center field.,R,L,R,ATL,PHI,X,,line_drive,2,1,2021,-0.64,1.34,-0.17,2.31,,,,0,6,Top,205.99,62.43,,,518595,,,4.766239922,-136.5705466,-7.652850202,-9.100968073,29.2925122,-13.89689308,3.49,1.6,390,115.6,20,95.3,2115,7.1,634524,666120,518595,518692,645277,663586,621020,542303,665506,660670,53.41,0.974,1.768,2,1,0,3,6,41,4,4-Seam Fastball,3,3,3,3,4,3,4,3,Standard,Standard,203,-0.167,0.959
FF,4/5/2021,92.4,-1.17,6,"Cruz, Nelson",443558,571656,home_run,hit_into_play,,,,,4,Nelson Cruz homers (2) on a fly ball to left field.,R,R,R,DET,MIN,X,,fly_ball,3,1,2021,-1.23,1.4,-0.44,2.28,,,,0,5,Top,29.36,59.06,,,467092,,,4.508604435,-134.3365858,-6.606840655,-15.86405842,32.48692722,-14.00429587,3.47,1.59,418,116.6,29,91.6,2405,6.1,634588,571656,467092,570731,592348,600869,650489,543257,668731,608577,54.41,0.997,1.975,2,1,0,3,6,35,5,4-Seam Fastball,0,6,6,0,7,0,7,0,Standard,Standard,221,-0.014,0.837
