Split,HR
Arizona Diamondbacks,3
Atlanta Braves,1
Baltimore Orioles,28
Boston Red Sox,33
Chicago Cubs,0
Chicago White Sox,33
Cincinnati Reds,2
Cleveland Indians,37
Colorado Rockies,4
Detroit Tigers,22
Florida Marlins,0
Houston Astros,0
Kansas City Royals,35
Los Angeles Angels of Anaheim,36
Los Angeles Dodgers,3
Milwaukee Brewers,17
Minnesota Twins,39
New York Yankees,25
Oakland Athletics,35
Pittsburgh Pirates,1
San Diego Padres,2
San Francisco Giants,2
Seattle Mariners,35
St. Louis Cardinals,1
Tampa Bay Devil Rays,8
Texas Rangers,4
Toronto Blue Jays,27
Washington Nationals,1
