Season,Name,WAR,playerid
1965,Sandy Koufax,10.0,1007124
1963,Sandy Koufax,9.2,1007124
1966,Sandy Koufax,9.1,1007124
2015,Clayton Kershaw,8.6,2036
1924,Dazzy Vance,8.0,1013342
2014,Clayton Kershaw,7.9,2036
1925,Dazzy Vance,7.6,1013342
2011,Clayton Kershaw,7.3,2036
1999,Kevin Brown,7.3,642
2013,Clayton Kershaw,7.2,2036
1971,Don Sutton,7.1,1012745
1928,Dazzy Vance,7.0,1013342
1941,Whit Wyatt,6.9,1014304
1936,Van Mungo,6.9,1009321
1964,Don Drysdale,6.9,1003516
2000,Kevin Brown,6.8,642
1972,Don Sutton,6.8,1012745
1962,Don Drysdale,6.5,1003516
2016,Clayton Kershaw,6.3,2036
1961,Sandy Koufax,6.3,1007124
1960,Don Drysdale,6.2,1003516
1986,Fernando Valenzuela,6.2,1013327
1969,Bill Singer,6.1,1012007
1930,Dazzy Vance,6.1,1013342
1982,Fernando Valenzuela,6.1,1013327
1964,Sandy Koufax,6.1,1007124
2003,Kevin Brown,6.1,642
2012,Clayton Kershaw,6.1,2036
1973,Don Sutton,6.0,1012745
1975,Andy Messersmith,5.9,1008799
1951,Don Newcombe,5.8,1009529
1959,Don Drysdale,5.8,1003516
1963,Don Drysdale,5.8,1003516
1929,Watty Clark,5.7,1002315
1962,Sandy Koufax,5.7,1007124
1989,Orel Hershiser,5.6,1005741
1927,Dazzy Vance,5.6,1013342
1949,Don Newcombe,5.6,1009529
1987,Orel Hershiser,5.6,1005741
1969,Claude Osteen,5.5,1009878
1982,Jerry Reuss,5.5,1010853
1975,Don Sutton,5.4,1012745
1986,Bob Welch,5.4,1013750
1921,Burleigh Grimes,5.4,1005061
1985,Orel Hershiser,5.4,1005741
1953,Carl Erskine,5.4,1003816
1985,Fernando Valenzuela,5.4,1013327
1950,Don Newcombe,5.4,1009529
1923,Dazzy Vance,5.4,1013342
1884,Adonis Terry,5.3,1012926
2015,Zack Greinke,5.3,1943
1888,Bob Caruthers,5.3,1002026
1974,Andy Messersmith,5.2,1008799
1984,Fernando Valenzuela,5.2,1013327
1890,Adonis Terry,5.2,1012926
1995,Hideo Nomo,5.2,666
1977,Burt Hooton,5.2,1006005
1957,Don Drysdale,5.1,1003516
1977,Tommy John,5.1,1006515
1920,Burleigh Grimes,5.1,1005061
1934,Van Mungo,5.0,1009321
2019,Walker Buehler,5.0,19374
1956,Don Newcombe,5.0,1009529
2002,Odalis Perez,4.9,668
1990,Ramon Martinez,4.9,1008193
1981,Fernando Valenzuela,4.9,1013327
1983,Jerry Reuss,4.8,1010853
2019,Hyun-Jin Ryu,4.8,14444
1966,Claude Osteen,4.8,1009878
1912,Nap Rucker,4.8,1011281
1932,Watty Clark,4.8,1002315
1975,Doug Rau,4.8,1010717
1901,Bill Donovan,4.8,1003393
1910,Nap Rucker,4.8,1011281
1923,Burleigh Grimes,4.7,1005061
1967,Bill Singer,4.7,1012007
1988,Tim Leary,4.7,1007438
1984,Alejandro Pena,4.7,1010140
2003,Eric Gagne,4.7,650
1966,Don Sutton,4.7,1012745
1929,Dazzy Vance,4.6,1013342
1947,Ralph Branca,4.6,1001343
1980,Jerry Reuss,4.6,1010853
2010,Clayton Kershaw,4.6,2036
1955,Don Newcombe,4.6,1009529
1961,Stan Williams,4.6,1014039
