Name,WAR,playerid
Ted Williams,67.2,1014040
Tris Speaker,54.4,1012309
Carl Yastrzemski,51.6,1014326
Wade Boggs,43.0,1001124
Nomar Garciaparra,38.5,190
Mookie Betts,37.3,13611
Bobby Doerr,35.7,1003355
Rico Petrocelli,34.2,1010245
Dustin Pedroia,34.1,8370
Jim Rice,32.7,1010897
Reggie Smith,32.0,1012201
Fred Lynn,30.7,1007872
Dwight Evans,30.4,1003865
Carlton Fisk,28.4,1004101
Xander Bogaerts,26.5,12161
Harry Hooper,25.2,1006002
Johnny Pesky,23.6,1010219
Mike Greenwell,22.7,1005006
Freddy Parent,22.5,1009992
Jacoby Ellsbury,22.2,4727
Duffy Lewis,21.9,1007579
Mo Vaughn,21.3,899
John Valentin,21.1,1375
Larry Gardner,20.4,1004528
Babe Ruth,18.3,1011327
Billy Goodman,17.8,1004856
Rick Burleson,17.8,1001696
Jim Piersall,17.5,1010340
Ellis Burks,16.8,372
Trot Nixon,16.8,204
Vern Stephens,16.7,1012501
Dom DiMaggio,15.6,1003310
Kevin Youkilis,15.1,1935
Rich Gedman,13.6,1004592
Jackie Bradley Jr.,13.5,12984
David Ortiz,12.7,745
Jackie Jensen,12.7,1006398
Jody Reed,12.7,1010771
Everett Scott,12.5,1011679
Tony Conigliaro,12.1,1002502
Heinie Wagner,11.8,1013483
George Scott,11.5,1011682
Jimmie Foxx,10.8,1004285
Christian Vazquez,10.4,9774
Mike Andrews,9.9,1000258
Billy Werber,9.8,1013783
Tim Naehring,9.7,1009433
Jim Tabor,9.7,1012808
Jarrod Saltalamacchia,8.8,5557
Andrew Benintendi,8.5,17901
Rick Miller,8.5,1008928
Joe Foy,8.4,1004286
Patsy Dougherty,8.3,1003430
Rafael Devers,8.2,17350
Marty Barrett,8.1,1000599
Eddie Lake,8.1,1007260
Dick Hoblitzel,8.0,1005871
Frank Malzone,8.0,1008048
Chick Stahl,7.7,1012381
Gary Geiger,7.4,1004601
Bernie Carbo,7.2,1001935
Rick Ferrell,7.2,1004007
Hobe Ferris,7.2,1004013
Don Buddin,7.1,1001628
Coco Crisp,6.9,1572
Troy O'Leary,6.9,789
Johnny Damon,6.8,185
Scott Cooper,6.7,1002600
Billy Klaus,6.6,1006986
Harry Lord,6.6,1007761
Sammy White,6.5,1013892
Doc Gessler,6.5,1004642
Clyde Engle,6.3,1003780
Ben Chapman,6.3,1002141
Bill Carrigan,6.2,1001991
Adrian Gonzalez,6.2,1908
Dusty Cooke,6.0,1002568
Dick Gernert,5.8,1004637
Jason Varitek,5.6,217
Darren Bragg,5.6,83
Wes Ferrell,5.5,1004010
Wally Schang,5.3,1011521
Manny Ramirez,5.2,210
Carney Lansford,5.1,1007331
Ike Boone,5.1,1001187
Felix Mantilla,5.0,1008081
Buddy Myer,5.0,1009415
Amby McConnell,5.0,1008405
Jerry Remy,4.9,1010828
Ted Lepcio,4.8,1007545
Buck Freeman,4.8,1004316
Carl Everett,4.7,1249
Brian Daubach,4.7,186
Mike Menosky,4.6,1008767
Dave Stapleton,4.6,1012423
Ken Harrelson,4.4,1005389
Cecil Cooper,4.3,1002592
Nick Esasky,4.2,1003818
Jim Pagliaroni,4.1,1009958
Reggie Jefferson,4.0,1006381
Dale Alexander,3.9,1000121
Topper Rigney,3.9,1010962
Lou Clinton,3.8,1002358
Joe Cronin,3.8,1002796
Stuffy McInnis,3.8,1008569
Scott Hatteberg,3.7,916
Tilly Walker,3.7,1013534
Brock Holt,3.5,9345
Jed Lowrie,3.5,4418
Mark Bellhorn,3.4,264
Leon Culberson,3.4,1002857
Pinch Thomas,3.4,1012989
Del Gainer,3.3,1004432
Steve Yerkes,3.2,1014341
Roy Partee,3.2,1010032
Hick Cady,3.2,1001813
Butch Hobson,3.2,1005872
Billy Conigliaro,3.2,1002501
Carl Mays,3.0,1008313
