Name,WAR,playerid
Johnny Bench,30.7,1000826
Frank Robinson,28.0,1011066
Vada Pinson,27.2,1010360
Adam Dunn,13.2,319
Dick Hoblitzel,13.0,1005871
Kal Daniels,11.4,1002973
Bobby Tolan,11.1,1013100
Sam Crawford,11.0,1002748
Jay Bruce,10.6,9892
Bug Holliday,8.8,1005957
Barry Larkin,8.4,335
Pete Rose,7.9,1011217
Bid McPhee,7.6,1008675
Edd Roush,7.5,1011247
Bernie Carbo,7.0,1001935
Eric Davis,6.9,1003048
Leo Cardenas,6.8,1001938
Heinie Groh,6.5,1005078
Tony Cuccinello,6.3,1002848
Grady Hatton,6.2,1005496
Austin Kearns,6.1,332
Dan Driessen,5.9,1003501
Tommy Harper,5.9,1005383
Joe Sommer,5.5,1012275
Harry Steinfeldt,5.5,1012466
Hughie Critz,5.5,1002780
Sean Casey,4.9,314
Billy Hamilton,4.5,10199
John Reilly,4.2,1010803
Tommy Clarke,4.0,1002313
Gus Bell,4.0,1000809
Lew Fonseca,4.0,1004205
Harry Craft,3.5,1002718
Joey Votto,3.5,4314
Edwin Encarnacion,3.4,2151
Sam Bohne,3.4,1001130
Jonathan India,3.1,21523
Ernie Lombardi,3.0,1007718
Jose Peraza,3.0,13593
Mike McCormick,3.0,1008419
Dmitri Young,2.5,505
Hans Lobert,2.4,1007684
Joe Oliver,2.4,1009778
Joe Adcock,2.3,1000067
Chris Stynes,2.2,303
Eugenio Suarez,2.2,12552
Bobby Adams,2.2,1000045
Reggie Sanders,2.1,1129
Alex Kampouris,2.1,1006685
Ray Lamanno,2.1,1007270
Mike Leake,2.1,10130
Jocko Halligan,2.0,1005249
Ethan Allen,2.0,1000139
Frank Fennelly,1.9,1003980
Pete Schneider,1.9,1011597
Mike Mowrey,1.8,1009271
Armando Marsans,1.6,1008131
John Kane,1.6,1006691
George Foster,1.6,1004250
Lee May,1.5,1008303
Johnny Edwards,1.5,1003689
Dann Bilardello,1.5,1000963
Tyler Stephenson,1.5,17988
Dave Concepcion,1.5,1002494
Roy McMillan,1.4,1008643
Drew Stubbs,1.4,9328
Ken Griffey,1.4,1005044
Art Shamsky,1.4,1011786
Jesse Winker,1.4,13590
Pid Purdy,1.3,1010571
Ted Kluszewski,1.3,1007020
Elmer Smith,1.2,1012134
Johnny Pramesa,1.2,1010510
Bob Bescher,1.2,1000921
Don Gullett,1.2,1005134
Billy Earle,1.2,1003627
Eddie Joost,1.1,1006604
Wily Mo Pena,1.1,344
Billy Myers,1.1,1009418
Hobie Landrith,1.1,1007300
Boob Fowler,1.1,1004269
Jimmy Barrett,1.1,1000596
Harry Wheeler,1.0,1013837
Ed Bailey,1.0,1000421
Ron Oester,1.0,1009739
Paul O'Neill,0.9,1009818
Erve Beck,0.9,1000748
Jim Greengrass,0.9,1005000
Greasy Neale,0.8,1009474
Cesar Geronimo,0.8,1004639
Doug Flynn,0.8,1004182
Juan Francisco,0.7,6978
Wladimir Balentien,0.7,3131
Nick Senzel,0.7,19293
Tom Foley,0.7,1004200
Frank Motz,0.7,1009263
Pete Donohue,0.7,1003390
Paul Moskau,0.6,1009245
Ward Miller,0.6,1008939
Joe Nuxhall,0.6,1009665
Billy Sullivan,0.6,1012684
Red Lucas,0.6,1007808
Bill Gray,0.6,1005031
Pete Knisely,0.6,1007044
Tucker Barnhart,0.6,10200
Rube Bressler,0.6,1001398
Rafael Almeida,0.6,1000173
Pete Appleton,0.6,1000283
Jeff Treadway,0.5,1013169
Junior Thompson,0.5,1013017
Mike Donlin,0.5,1003380
Tommy Helms,0.5,1005616
Damian Jackson,0.5,471
Michael Lorenzen,0.5,14843
Art Phelan,0.5,1010272
Benny Frey,0.4,1004342
Gene Schott,0.4,1011607
Jimmy Smith,0.4,1012162
Kid Elberfeld,0.4,1003722
Hod Eller,0.4,1003729
Ed Sicking,0.4,1011946
Mat Latos,0.4,3815
Jack McCarthy,0.4,1008371
Lenny Harris,0.4,1394
Lee Stine,0.4,1012543
Willie Greene,0.4,1005015
Gary Nolan,0.4,1009616
Jim Maloney,0.4,1008039
Nick Esasky,0.4,1003818
Claude Ritchey,0.3,1010987
Les Scarsella,0.3,1011500
Ed Armbrister,0.3,1000307
Tony Perez,0.3,1010188
Ed Crosby,0.3,1002799
Johnny Hetki,0.3,1005752
Dave Sappelt,0.3,6898
Lee Handley,0.3,1005300
Howie Fox,0.3,1004278
Bobby Livingston,0.3,3876
Roy Ellam,0.3,1003727
Yonder Alonso,0.3,2530
Lefty Houtz,0.3,1006067
Glen Gorbous,0.3,1004871
Calvin Chapman,0.3,1002142
Terry McGriff,0.3,1008549
Jimmy Shevlin,0.3,1011888
Bill Harris,0.2,1005396
Chris Denorfia,0.2,4400
Bob Coulson,0.2,1002673
Bill Hinchman,0.2,1005839
Chuck Aleno,0.2,1000119
John Dodge,0.2,1003351
Chris Valaika,0.2,1165
Don Lang,0.2,1007314
Pee-Wee Wanninger,0.2,1013599
Josh VanMeter,0.2,15170
Buddy Gilbert,0.2,1004687
Tony Cingrani,0.2,12555
Frank Duffy,0.2,1003532
Jimmy Sebring,0.2,1011710
Larry Luebbers,0.2,1007817
Jimmy Outlaw,0.2,1009909
Bob Hazle,0.2,1005540
Charlie Petty,0.2,1010256
Tom Cantwell,0.2,1001923
Alex Trevino,0.2,1013180
Dick West,0.2,1013800
Damon Phillips,0.2,1010286
Crese Heismann,0.2,1005604
Jeff Russell,0.1,1011314
Charlie Leibrandt,0.1,1007492
Eric Owens,0.1,534
Andy Kyle,0.1,1007228
Dutch Ruether,0.1,1011291
Dain Clay,0.1,1002326
Phil Geier,0.1,1004600
Jerry Harrington,0.1,1005418
Jack Rowan,0.1,1011250
Charlie See,0.1,1011715
Bill Scherrer,0.1,1011552
Ivey Wingo,0.1,1014133
Buddy Lively,0.1,1007671
Clarence Stephens,0.1,1012490
Dilson Herrera,0.1,14335
Tom Hume,0.1,1006179
Bill Hobbs,0.1,1005869
Wade Rowdon,0.1,1011251
Billy Clingman,0.1,1002356
Hank Sauer,0.1,1011459
Emil Huhn,0.1,1006170
Jackson Stephens,0.1,14420
Andy Machado,0.1,1853
Ecky Stearns,0.1,1012445
Rookie Davis,0.1,14962
Eddie Tiemeyer,0.1,1013059
Didi Gregorius,0.1,6012
Casper Asbjornson,0.1,1000334
Red Lutz,0.1,1007853
Jimmy Hudgens,0.1,1006130
Gerry Arrigo,0.1,1000326
Harry Spilman,0.1,1012343
Monty Swartz,0.1,1012767
Bumpus Jones,0.1,1006533
Curt Flood,0.1,1004165
Mike Konnick,0.1,1007096
Ted Tappe,0.1,1012827
Joe Burns,0.1,1001713
Brian Reith,0.1,347
Daniel Corcino,0.1,9266
Tony Robello,0.1,1011020
Mike McQueen,0.1,1008680
Gene Packard,0.1,1009939
Travis Wood,0.1,9884
Jesse Haines,0.1,1005209
George Abrams,0.1,1000026
Howard McGraner,0.1,1008541
Snipe Conley,0.1,1002508
Chuck Tompkins,0.1,1013113
Dan Bickham,0.1,1000948
Van Snider,0.1,1012231
Roy Castleton,0.0,1002074
Carl Willis,0.0,1013979
Emil Frisk,0.0,1004366
Willie McGill,0.0,1008522
Pat Ragan,0.0,1010650
Karl Adams,0.0,1000057
Reggie Jefferson,0.0,1006381
Andy Harrington,0.0,1005392
Mul Holland,0.0,1005951
Mike Shea,0.0,1011834
Darrell Osteen,0.0,1009879
Pat Darcy,0.0,1002984
George Darby,0.0,1002983
David Holmberg,0.0,7725
Jim Begley,0.0,1000779
John Franco,0.0,874
Eddie Pick,0.0,1010312
Tex McDonald,0.0,1008468
Mike Grace,0.0,1004914
Greg Garrett,0.0,1004545
Ed Gerner,0.0,1004638
Dee Moore,0.0,1009101
Lem Cross,0.0,1002809
Mike Balenti,0.0,1000488
Ken Hunt,0.0,1006210
Neil Fiala,0.0,1004021
Carl Druhot,0.0,1003513
Cozy Dolan,0.0,1003361
Kevin Jarvis,0.0,1037
Johnny Rawlings,0.0,1010720
Tony Santillan,0.0,19926
Ray Callahan,0.0,1001849
Harry Perkowski,0.0,1010195
Bob Meinke,0.0,1008733
Dave Skaugstad,0.0,1012031
Daniel Herrera,0.0,4552
Del Young,0.0,1014371
Brandon Watson,0.0,2146
George Hemming,0.0,1005620
Eddie Lukon,0.0,1007828
Johnny Hutchings,0.0,1006241
Benny Zientara,0.0,1014438
Marty O'Toole,0.0,1009898
Frank Gregory,0.0,1005023
Wiley Davis,0.0,1003087
Jon Moscot,0.0,13849
Leo Hafford,0.0,1005193
German Barranca,0.0,1000587
Dick Bayless,0.0,1000699
Paul Householder,0.0,1006063
John Roper,0.0,1011189
Chauncey Fisher,0.0,1004081
Lefty Marr,0.0,1008129
Rocky Stone,0.0,1012571
Peaches O'Neill,0.0,1009819
C.J. Nitkowski,0.0,570
Scott Scudder,0.0,1011699
Elizardo Ramirez,0.0,1946
Johnny Ruffin,0.0,1011295
Wild Bill Widner,0.0,1013922
Karl Schnell,0.0,1011596
Kid Durbin,0.0,1003585
Jerry Gil,0.0,2207
Enerio Del Rosario,0.0,4204
Bill Bray,0.0,8538
J.J. Hoover,0.0,9037
Pedro Villarreal,0.0,9904
