Name,Team,WAR,playerid
Mike Trout,LAA,29.2,10155
Ty Cobb,DET,25.9,1002378
Mel Ott,NYG,25.1,1009904
Ted Williams,BOS,24.8,1014040
Jimmie Foxx,PHA,21.0,1004285
Alex Rodriguez,SEA,20.8,1274
Mickey Mantle,NYY,19.8,1008082
Al Kaline,DET,19.7,1006678
Ken Griffey Jr.,SEA,19.7,327
Rogers Hornsby,STL,19.7,1006030
Sherry Magee,PHI,19.6,1007965
Bryce Harper,WSN,19.4,11579
Joe Jackson,- - -,19.3,1006301
Eddie Mathews,BSN,19.1,1008236
Andruw Jones,ATL,17.7,96
Cesar Cedeno,HOU,17.4,1002100
Johnny Bench,CIN,17.4,1000826
Arky Vaughan,PIT,17.3,1013377
Vada Pinson,CIN,16.8,1010360
Frank Robinson,CIN,16.3,1011066
Stan Musial,STL,16.0,1009405
John McGraw,BAL,15.9,1008542
Jimmy Sheckard,- - -,15.2,1011843
Manny Machado,BAL,15.2,11493
Joe DiMaggio,NYY,14.3,1003311
Juan Soto,WSN,14.2,20123
Hank Aaron,MIL,13.9,1000001
Rickey Henderson,OAK,13.8,194
Carlos Correa,HOU,13.7,14162
Tris Speaker,BOS,13.6,1012309
Freddie Lindstrom,NYG,13.6,1007631
George Davis,- - -,13.3,1003049
Stuffy McInnis,PHA,12.9,1008569
Albert Pujols,STL,12.7,1177
Cal Ripken,BAL,12.6,1010978
Mike Tiernan,NYG,12.5,1013062
Buddy Lewis,WAS,12.4,1007578
Fred Carroll,- - -,12.3,1002002
Donie Bush,DET,12.3,1001749
Giancarlo Stanton,FLA,11.9,4949
Jason Heyward,ATL,11.8,4940
Travis Jackson,NYG,11.7,1006314
Ronald Acuna Jr.,ATL,11.7,18401
Eddie Collins,PHA,11.6,1002451
Jim Fregosi,LAA,11.3,1004330
Fernando Tatis Jr.,SDP,11.1,19709
Sam Crawford,CIN,11.0,1002748
Roberto Alomar,SDP,10.8,860
Jake Beckley,- - -,10.8,1000754
Joe Kelley,- - -,10.6,1006776
Tony Conigliaro,BOS,10.4,1002502
Frankie Frisch,NYG,10.2,1004364
Ozzie Albies,ATL,10.2,16556
Orlando Cepeda,SFG,10.1,1002103
Dick Hoblitzel,CIN,10.0,1005871
Denny Lyons,- - -,9.7,1007880
Francisco Lindor,CLE,9.5,12916
Elvis Andrus,TEX,9.4,8709
Joe Torre,MIL,9.4,1013133
Ted Simmons,STL,9.2,1011986
Bill Dahlen,CHI,9.2,1002924
Ryan Zimmerman,WSN,9.0,4220
Robin Yount,MIL,8.7,1014396
Barry Bonds,PIT,8.7,1109
Jack Clark,SFG,8.6,1002288
Whitey Lockman,NYG,8.5,1007694
Ben Chapman,NYY,8.5,1002141
Corey Seager,LAD,8.5,13624
Ivan Rodriguez,TEX,8.4,1275
Willie Randolph,- - -,8.4,1010694
Adrian Beltre,LAD,8.4,639
Bob Horner,ATL,8.3,1006026
Tom Brunansky,- - -,8.3,1001589
Ross Youngs,NYG,8.3,1014390
Pete Browning,LOU,8.3,1001554
Miguel Cabrera,FLA,8.3,1744
Dick Allen,PHI,8.3,1000137
Chris Speier,SFG,8.3,1012316
Willie Davis,LAD,8.3,1003088
Joe Morgan,HOU,8.2,1009179
Joe Medwick,STL,8.2,1008719
Pete Reiser,BRO,8.1,1010814
David Wright,NYM,8.1,3787
Butch Wynegar,MIN,8.1,1014308
Buddy Bell,CLE,8.0,1000799
Boog Powell,BAL,8.0,1010482
Reddy Mack,LOU,7.8,1007927
Fred Dunlap,CLE,7.8,1003566
Rafael Devers,BOS,7.7,17350
Carl Crawford,TBD,7.7,1201
Terry Puhl,HOU,7.7,1010562
Cody Bellinger,LAD,7.6,15998
Starlin Castro,CHC,7.6,4579
