Season,Name,WAR,playerid
1969,Al Fitzmorris,0.0,1004119
1969,Bill Butler,3.3,1001771
1969,Chris Zachary,-0.3,1014404
1969,Dave Morehead,-0.6,1009156
1969,Dave Wickersham,0.0,1013917
1969,Dick Drago,2.5,1003475
1969,Don O'Riley,0.1,1009833
1969,Galen Cisco,-0.3,1002246
1969,Jerry Cram,0.5,1002728
1969,Jim Rooker,2.2,1011183
1969,Mike Hedlund,2.3,1005575
1969,Moe Drabowsky,0.8,1003474
1969,Roger Nelson,2.8,1009511
1969,Steve Jones,0.3,1006593
1969,Tom Burgmeier,-0.1,1001668
1969,Wally Bunker,2.3,1001652
1970,Al Fitzmorris,0.0,1004119
1970,Aurelio Monteagudo,0.2,1009063
1970,Bill Butler,0.1,1001771
1970,Bob Johnson,4.6,1006430
1970,Dave Morehead,1.2,1009156
1970,Dick Drago,3.8,1003475
1970,Don O'Riley,-0.2,1009833
1970,Jim Rooker,2.9,1011183
1970,Jim York,-0.1,1014351
1970,Ken Wright,0.1,1014286
1970,Mike Hedlund,-0.7,1005575
1970,Moe Drabowsky,0.6,1003474
1970,Paul Splittorff,0.1,1012346
1970,Roger Nelson,-0.2,1009511
1970,Ted Abernathy,0.3,1000020
1970,Tom Burgmeier,0.5,1001668
1970,Wally Bunker,0.4,1001652
1971,Al Fitzmorris,1.3,1004119
1971,Bill Butler,0.2,1001771
1971,Bruce Dal Canton,2.1,1002936
1971,Dick Drago,4.7,1003475
1971,Jim Rooker,0.8,1011183
1971,Jim York,1.2,1014351
1971,Ken Wright,0.5,1014286
1971,Lance Clemons,0.2,1002343
1971,Mike Hedlund,2.0,1005575
1971,Mike McCormick,0.1,1008420
1971,Monty Montgomery,0.8,1009072
1971,Paul Splittorff,3.7,1012346
1971,Roger Nelson,1.0,1009511
1971,Ted Abernathy,0.1,1000020
1971,Tom Burgmeier,0.6,1001668
1971,Wally Bunker,-0.1,1001652
1972,Al Fitzmorris,0.0,1004119
1972,Bruce Dal Canton,2.3,1002936
1972,Dick Drago,2.9,1003475
1972,Jim Rooker,1.2,1011183
1972,Ken Wright,0.1,1014286
1972,Mike Hedlund,0.3,1005575
1972,Mike Jackson,0.2,1006306
1972,Monty Montgomery,0.9,1009072
1972,Norm Angelini,-0.1,1000268
1972,Paul Splittorff,3.9,1012346
1972,Roger Nelson,3.4,1009511
1972,Steve Busby,1.3,1001745
1972,Ted Abernathy,0.3,1000020
1972,Tom Burgmeier,-0.2,1001668
1972,Tom Murphy,1.0,1009376
1973,Al Fitzmorris,1.4,1004119
1973,Barry Raziano,-0.1,1010735
1973,Bruce Dal Canton,0.0,1002936
1973,Dick Drago,2.8,1003475
1973,Doug Bird,1.1,1000976
1973,Gene Garber,1.0,1004493
1973,Joe Hoerner,0.2,1005895
1973,Ken Wright,0.1,1014286
1973,Mark Littell,-0.1,1007657
1973,Mike Jackson,-0.5,1006306
1973,Norm Angelini,-0.1,1000268
1973,Paul Splittorff,4.1,1012346
1973,Steve Busby,4.1,1001745
1973,Steve Mingori,0.4,1008978
1973,Tom Burgmeier,-0.2,1001668
1973,Wayne Simpson,0.9,1011999
1974,Al Fitzmorris,2.1,1004119
1974,Aurelio Lopez,0.0,1007753
1974,Bruce Dal Canton,2.2,1002936
