Season,Name,WAR,playerid
1973,Darrell Evans,9.7,1003864
1928,Rogers Hornsby,9.0,1006030
1961,Hank Aaron,8.9,1000001
1945,Tommy Holmes,8.7,1005980
1953,Eddie Mathews,8.7,1008236
2004,J.D. Drew,8.6,1152
2008,Brian McCann,8.6,4810
1963,Hank Aaron,8.4,1000001
1959,Eddie Mathews,8.3,1008236
1959,Hank Aaron,8.2,1000001
1989,Lonnie Smith,8.1,1012176
1962,Hank Aaron,8.1,1000001
1954,Eddie Mathews,7.9,1008236
1963,Eddie Mathews,7.9,1008236
2005,Andruw Jones,7.9,96
1960,Eddie Mathews,7.7,1008236
2000,Andruw Jones,7.7,96
1969,Hank Aaron,7.6,1000001
1965,Hank Aaron,7.6,1000001
1957,Hank Aaron,7.6,1000001
1955,Eddie Mathews,7.5,1008236
1894,Hugh Duffy,7.5,1003533
2003,Gary Sheffield,7.3,114
1999,Chipper Jones,7.3,97
1957,Eddie Mathews,7.3,1008236
1967,Hank Aaron,7.3,1000001
1968,Hank Aaron,7.1,1000001
1998,Chipper Jones,7.1,97
2008,Chipper Jones,7.1,97
1971,Hank Aaron,7.1,1000001
1987,Dale Murphy,7.1,1009355
1961,Eddie Mathews,7.1,1008236
1998,Andruw Jones,7.0,96
1960,Hank Aaron,7.0,1000001
1983,Dale Murphy,7.0,1009355
2011,Brian McCann,6.9,4810
1999,Andruw Jones,6.9,96
1966,Hank Aaron,6.9,1000001
2007,Chipper Jones,6.9,97
1966,Joe Torre,6.9,1013133
1956,Hank Aaron,6.9,1000001
1974,Darrell Evans,6.8,1003864
1958,Hank Aaron,6.8,1000001
2003,Javy Lopez,6.8,103
1964,Hank Aaron,6.8,1000001
1970,Rico Carty,6.7,1002025
2003,Marcus Giles,6.7,89
2010,Brian McCann,6.7,4810
1898,Jimmy Collins,6.7,1002455
1948,Bob Elliott,6.6,1003733
1933,Wally Berger,6.4,1000875
1947,Bob Elliott,6.4,1003733
1996,Chipper Jones,6.3,97
2002,Andruw Jones,6.3,96
1991,Terry Pendleton,6.3,1010157
2009,Brian McCann,6.3,4810
1968,Felipe Alou,6.2,1000177
1931,Wally Berger,6.2,1000875
1899,Chick Stahl,6.1,1012381
2016,Freddie Freeman,6.1,5361
1889,Dan Brouthers,6.1,1001486
2001,Chipper Jones,6.1,97
1966,Felipe Alou,6.1,1000177
1899,Fred Tenney,6.1,1012916
1964,Denis Menke,6.1,1008766
1896,Billy Hamilton,6.0,1005270
1884,Ezra Sutton,6.0,1012746
2006,Andruw Jones,6.0,96
2000,Chipper Jones,6.0,97
1982,Dale Murphy,6.0,1009355
2002,Chipper Jones,5.9,97
1955,Hank Aaron,5.9,1000001
1955,Johnny Logan,5.8,1007705
1964,Joe Torre,5.8,1013133
