Season,Name,WAR,playerid
1946,Ted Williams,11.8,1014040
1942,Ted Williams,11.6,1014040
1967,Carl Yastrzemski,11.1,1014326
1941,Ted Williams,11.0,1014040
1912,Tris Speaker,10.6,1012309
1947,Ted Williams,10.5,1014040
2018,Mookie Betts,10.4,13611
1949,Ted Williams,9.9,1014040
1957,Ted Williams,9.7,1014040
1969,Rico Petrocelli,9.6,1010245
2011,Jacoby Ellsbury,9.5,4727
1919,Babe Ruth,9.4,1011327
1914,Tris Speaker,9.3,1012309
1968,Carl Yastrzemski,9.3,1014326
1987,Wade Boggs,8.9,1001124
1970,Carl Yastrzemski,8.9,1014326
1985,Wade Boggs,8.8,1001124
1988,Wade Boggs,8.6,1001124
1979,Fred Lynn,8.6,1007872
1913,Tris Speaker,8.6,1012309
1948,Ted Williams,8.5,1014040
1954,Ted Williams,8.4,1014040
1938,Jimmie Foxx,8.3,1004285
1989,Wade Boggs,8.3,1001124
2016,Mookie Betts,8.3,13611
1995,John Valentin,8.2,1375
2011,Dustin Pedroia,7.9,8370
1988,Mike Greenwell,7.8,1005006
1978,Jim Rice,7.7,1010897
1986,Wade Boggs,7.7,1001124
1983,Wade Boggs,7.7,1001124
1977,Carlton Fisk,7.6,1004101
2000,Nomar Garciaparra,7.6,190
1910,Tris Speaker,7.5,1012309
1949,Vern Stephens,7.5,1012501
1939,Jimmie Foxx,7.3,1004285
1998,Nomar Garciaparra,7.3,190
1951,Ted Williams,7.1,1014040
1955,Ted Williams,7.1,1014040
1975,Fred Lynn,7.1,1007872
1939,Ted Williams,7.1,1014040
1946,Johnny Pesky,6.9,1010219
2019,Xander Bogaerts,6.8,12161
1901,Jimmy Collins,6.8,1002455
1940,Ted Williams,6.7,1014040
1938,Joe Cronin,6.7,1002796
1936,Jimmie Foxx,6.7,1004285
2019,Mookie Betts,6.6,13611
1981,Dwight Evans,6.6,1003865
1972,Carlton Fisk,6.6,1004101
1945,Eddie Lake,6.5,1007260
1982,Dwight Evans,6.5,1003865
1915,Tris Speaker,6.5,1012309
2010,Adrian Beltre,6.4,639
1944,Bob Johnson,6.4,1006428
1997,Nomar Garciaparra,6.4,190
2008,Dustin Pedroia,6.4,8370
2007,David Ortiz,6.3,745
1963,Carl Yastrzemski,6.3,1014326
1909,Tris Speaker,6.3,1012309
1999,Nomar Garciaparra,6.3,190
1970,Reggie Smith,6.3,1012201
1998,Mo Vaughn,6.3,899
1956,Ted Williams,6.3,1014040
1996,Mo Vaughn,6.2,899
1983,Jim Rice,6.2,1010897
2008,Kevin Youkilis,6.2,1935
1903,Freddy Parent,6.2,1009992
2011,Adrian Gonzalez,6.2,1908
1942,Johnny Pesky,6.1,1010219
1991,Wade Boggs,6.1,1001124
1942,Bobby Doerr,6.0,1003355
1904,Freddy Parent,6.0,1009992
1984,Wade Boggs,6.0,1001124
2019,Rafael Devers,5.9,17350
2009,Kevin Youkilis,5.9,1935
1944,Bobby Doerr,5.9,1003355
2018,J.D. Martinez,5.9,6184
1979,Jim Rice,5.9,1010897
1946,Bobby Doerr,5.9,1003355
1911,Tris Speaker,5.9,1012309
2003,Manny Ramirez,5.8,210
2003,Nomar Garciaparra,5.8,190
1949,Bobby Doerr,5.8,1003355
1912,Larry Gardner,5.8,1004528
1969,Carl Yastrzemski,5.8,1014326
1978,Carlton Fisk,5.7,1004101
1942,Dom DiMaggio,5.7,1003310
1985,Rich Gedman,5.6,1004592
1958,Pete Runnels,5.6,1011303
1940,Jimmie Foxx,5.5,1004285
1934,Billy Werber,5.5,1013783
1958,Jackie Jensen,5.5,1006398
1986,Jim Rice,5.5,1010897
1971,Reggie Smith,5.5,1012201
1973,Carl Yastrzemski,5.4,1014326
1956,Jim Piersall,5.3,1010340
2017,Mookie Betts,5.3,13611
1948,Bobby Doerr,5.3,1003355
2002,Manny Ramirez,5.3,210
1984,Dwight Evans,5.3,1003865
2006,David Ortiz,5.3,745
2005,David Ortiz,5.3,745
1903,Jimmy Collins,5.3,1002455
1920,Harry Hooper,5.3,1006002
2016,Jackie Bradley Jr.,5.3,12984
1943,Bobby Doerr,5.2,1003355
1918,Babe Ruth,5.2,1011327
1988,Ellis Burks,5.2,372
1918,Harry Hooper,5.2,1006002
2001,Manny Ramirez,5.2,210
1993,John Valentin,5.2,1375
1941,Joe Cronin,5.1,1002796
1966,Carl Yastrzemski,5.1,1014326
1995,Mo Vaughn,5.1,899
2003,Trot Nixon,5.0,204
1971,Rico Petrocelli,5.0,1010245
1955,Jim Piersall,5.0,1010340
1977,Jim Rice,5.0,1010897
1904,Jimmy Collins,5.0,1002455
1977,Carl Yastrzemski,5.0,1014326
1959,Pete Runnels,5.0,1011303
1969,Reggie Smith,5.0,1012201
2016,Dustin Pedroia,4.9,8370
1931,Earl Webb,4.9,1013708
1973,Reggie Smith,4.9,1012201
