Season,Name,WAR,playerid
1948,Lou Boudreau,10.9,1001234
1906,Nap Lajoie,9.4,1007259
1911,Joe Jackson,9.3,1006301
1910,Nap Lajoie,9.3,1007259
1912,Joe Jackson,9.1,1006301
1953,Al Rosen,9.1,1011208
1904,Nap Lajoie,8.8,1007259
1920,Tris Speaker,8.7,1012309
1923,Tris Speaker,8.7,1012309
1906,Terry Turner,8.6,1013233
1944,Lou Boudreau,8.3,1001234
2018,Jose Ramirez,8.1,13510
1916,Tris Speaker,8.0,1012309
2006,Grady Sizemore,7.9,2197
2018,Francisco Lindor,7.7,12916
1917,Ray Chapman,7.7,1002151
1917,Tris Speaker,7.7,1012309
1903,Nap Lajoie,7.6,1007259
1913,Joe Jackson,7.5,1006301
1943,Lou Boudreau,7.5,1001234
1999,Manny Ramirez,7.5,210
1996,Jim Thome,7.4,409
2008,Grady Sizemore,7.4,2197
1971,Graig Nettles,7.4,1009517
1947,Lou Boudreau,7.3,1001234
1999,Roberto Alomar,7.3,860
2002,Jim Thome,7.3,409
1995,Albert Belle,7.2,1000802
1948,Ken Keltner,7.2,1006821
1948,Joe Gordon,7.1,1004874
1907,Nap Lajoie,7.0,1007259
1908,Nap Lajoie,7.0,1007259
1993,Kenny Lofton,7.0,246
1903,Bill Bradley,6.9,1001304
1923,Joe Sewell,6.9,1011766
1952,Larry Doby,6.9,1003346
1950,Al Rosen,6.9,1011208
1947,Joe Gordon,6.9,1004874
1936,Earl Averill,6.9,1000378
1950,Larry Doby,6.8,1003346
1906,Elmer Flick,6.7,1004158
1934,Earl Averill,6.7,1000378
1922,Tris Speaker,6.7,1012309
1902,Bill Bradley,6.7,1001304
1994,Kenny Lofton,6.6,246
1958,Rocky Colavito,6.6,1002404
2001,Roberto Alomar,6.6,860
1904,Elmer Flick,6.6,1004158
1940,Lou Boudreau,6.5,1001234
2014,Michael Brantley,6.5,4106
2017,Jose Ramirez,6.5,13510
1952,Al Rosen,6.5,1011208
1954,Bobby Avila,6.4,1000380
2007,Grady Sizemore,6.4,2197
1925,Tris Speaker,6.4,1012309
1951,Larry Doby,6.3,1003346
1921,Tris Speaker,6.3,1012309
1904,Bill Bradley,6.3,1001304
1907,Elmer Flick,6.1,1004158
1931,Earl Averill,6.1,1000378
2010,Shin-Soo Choo,6.1,3174
1995,Jim Thome,6.0,409
1909,Nap Lajoie,6.0,1007259
1999,Omar Vizquel,6.0,411
2006,Travis Hafner,6.0,1573
1982,Toby Harrah,5.9,1005384
1954,Larry Doby,5.9,1003346
1944,Ken Keltner,5.8,1006821
1935,Joe Vosmik,5.8,1013456
1992,Kenny Lofton,5.8,246
2017,Francisco Lindor,5.7,12916
1905,Elmer Flick,5.7,1004158
1998,Kenny Lofton,5.6,246
1918,Tris Speaker,5.6,1012309
2005,Grady Sizemore,5.6,2197
1992,Carlos Baerga,5.5,175
2016,Francisco Lindor,5.5,12916
2007,Victor Martinez,5.4,393
1926,Joe Sewell,5.4,1011766
2001,Jim Thome,5.4,409
1998,Manny Ramirez,5.4,210
1934,Hal Trosky,5.4,1013190
1941,Jeff Heath,5.4,1005560
1902,Nap Lajoie,5.3,1007259
1959,Rocky Colavito,5.3,1002404
1959,Minnie Minoso,5.3,1008984
1930,Ed Morgan,5.3,1009176
2005,Travis Hafner,5.3,1573
1939,Hal Trosky,5.3,1013190
1994,Albert Belle,5.3,1000802
1996,Albert Belle,5.2,1000802
2005,Coco Crisp,5.2,1572
2014,Yan Gomes,5.1,9627
1978,Andre Thornton,5.1,1013037
1997,Jim Thome,5.1,409
1919,Tris Speaker,5.1,1012309
1938,Earl Averill,5.1,1000378
1942,Les Fleming,5.1,1004146
2013,Jason Kipnis,5.1,9776
2009,Shin-Soo Choo,5.1,3174
1926,Tris Speaker,5.1,1012309
1955,Al Smith,5.0,1012090
1961,Jim Piersall,5.0,1010340
1929,Lew Fonseca,5.0,1004205
2000,Roberto Alomar,5.0,860
1958,Minnie Minoso,5.0,1008984
1932,Earl Averill,5.0,1000378
1953,Larry Doby,5.0,1003346
1936,Odell Hale,5.0,1005224
1923,Charlie Jamieson,5.0,1006355
1993,Albert Belle,4.9,1000802
1962,Johnny Romano,4.9,1011165
1961,Johnny Romano,4.9,1011165
1943,Roy Cullenbine,4.9,1002861
1925,Joe Sewell,4.8,1011766
1928,Joe Sewell,4.8,1011766
1986,Joe Carter,4.8,1002018
2000,Manny Ramirez,4.8,210
1999,Kenny Lofton,4.8,246
1970,Graig Nettles,4.8,1009517
1954,Al Rosen,4.8,1011208
2004,Travis Hafner,4.7,1573
1913,Nap Lajoie,4.7,1007259
2016,Jason Kipnis,4.7,9776
1926,George Burns,4.7,1001709
2005,Victor Martinez,4.7,393
1939,Ken Keltner,4.7,1006821
2016,Jose Ramirez,4.7,13510
1905,Bill Bradley,4.7,1001304
1987,Brook Jacoby,4.7,1006318
1942,Lou Boudreau,4.7,1001234
1936,Hal Trosky,4.7,1013190
1940,Hal Trosky,4.7,1013190
1997,Manny Ramirez,4.6,210
1959,Tito Francona,4.6,1004293
1996,Kenny Lofton,4.6,246
1920,Steve O'Neill,4.6,1009820
2000,Travis Fryman,4.6,385
1931,Ed Morgan,4.5,1009176
1941,Lou Boudreau,4.5,1001234
1957,Gene Woodling,4.5,1014228
2015,Jason Kipnis,4.5,9776
1948,Larry Doby,4.5,1003346
1938,Jeff Heath,4.5,1005560
2019,Francisco Lindor,4.5,12916
2019,Carlos Santana,4.5,2396
1949,Joe Gordon,4.5,1004874
1912,Nap Lajoie,4.5,1007259
1921,Joe Sewell,4.5,1011766
1951,Bobby Avila,4.4,1000380
1944,Roy Cullenbine,4.4,1002861
1903,Elmer Flick,4.4,1004158
1938,Hal Trosky,4.4,1013190
2000,Jim Thome,4.4,409
1993,Carlos Baerga,4.4,175
1949,Mickey Vernon,4.4,1013416
1924,Tris Speaker,4.4,1012309
2001,Juan Gonzalez,4.3,1251
1914,Joe Jackson,4.3,1006301
1941,Ken Keltner,4.3,1006821
1902,Charlie Hickman,4.3,1005773
1949,Larry Doby,4.3,1003346
1952,Bobby Avila,4.3,1000380
2013,Yan Gomes,4.3,9627
2005,Jhonny Peralta,4.3,1738
1996,Manny Ramirez,4.3,210
1999,Jim Thome,4.2,409
1921,Larry Gardner,4.2,1004528
1970,Ray Fosse,4.2,1004243
1997,David Justice,4.2,923
1920,Elmer Smith,4.2,1012135
1955,Larry Doby,4.2,1003346
1997,Sandy Alomar Jr.,4.2,221
1932,Joe Vosmik,4.2,1013456
1943,Jeff Heath,4.2,1005560
