Season,Name,WAR,playerid
1997,Larry Walker,9.1,455
2000,Todd Helton,8.3,432
2001,Larry Walker,7.6,455
1996,Ellis Burks,7.2,372
2001,Todd Helton,7.1,432
2004,Todd Helton,7.0,432
2007,Matt Holliday,6.9,1873
2017,Charlie Blackmon,6.6,7859
2003,Todd Helton,6.6,432
2019,Nolan Arenado,6.0,9777
2019,Trevor Story,5.9,12564
2008,Matt Holliday,5.9,1873
2018,Nolan Arenado,5.8,9777
2017,Nolan Arenado,5.7,9777
2010,Carlos Gonzalez,5.7,7287
2010,Troy Tulowitzki,5.5,3531
2002,Todd Helton,5.5,432
2011,Troy Tulowitzki,5.4,3531
2002,Larry Walker,5.4,455
2006,Garrett Atkins,5.4,1790
2009,Troy Tulowitzki,5.3,3531
2007,Troy Tulowitzki,5.2,3531
2018,Trevor Story,5.1,12564
2014,Troy Tulowitzki,5.1,3531
1998,Larry Walker,5.0,455
2016,Nolan Arenado,5.0,9777
2013,Troy Tulowitzki,4.9,3531
1999,Larry Walker,4.7,455
2016,Charlie Blackmon,4.7,7859
1995,Larry Walker,4.6,455
2013,Carlos Gonzalez,4.5,7287
1998,Vinny Castilla,4.5,84
2015,Nolan Arenado,4.5,9777
2016,DJ LeMahieu,4.4,9874
1993,Andres Galarraga,4.2,1390
2007,Todd Helton,4.2,432
2005,Todd Helton,4.1,432
1993,Charlie Hayes,3.9,1005525
2001,Jeff Cirillo,3.9,1073
2006,Matt Holliday,3.5,1873
2011,Carlos Gonzalez,3.5,7287
2003,Preston Wilson,3.4,545
1996,Vinny Castilla,3.3,84
1996,Andres Galarraga,3.2,1390
2003,Larry Walker,3.2,455
1997,Andres Galarraga,3.1,1390
2004,Jeromy Burnitz,3.1,867
2016,Trevor Story,3.1,12564
1997,Vinny Castilla,3.0,84
2000,Jeff Cirillo,3.0,1073
2012,Dexter Fowler,3.0,4062
1999,Todd Helton,3.0,432
1998,Todd Helton,2.9,432
2018,Charlie Blackmon,2.9,7859
2015,Carlos Gonzalez,2.8,7287
1996,Eric Young,2.8,716
2013,Michael Cuddyer,2.8,1534
1993,Dante Bichette,2.8,1000946
2009,Seth Smith,2.8,7331
2014,Corey Dickerson,2.8,10762
2012,Carlos Gonzalez,2.7,7287
2006,Brad Hawpe,2.7,1885
2014,Drew Stubbs,2.7,9328
2007,Kaz Matsui,2.7,1854
2006,Jamey Carroll,2.7,1591
2014,Nolan Arenado,2.6,9777
2009,Todd Helton,2.6,432
2005,Matt Holliday,2.6,1873
2016,Carlos Gonzalez,2.6,7287
2004,Vinny Castilla,2.5,84
2021,Trevor Story,2.5,12564
2015,Charlie Blackmon,2.5,7859
2020,Trevor Story,2.4,12564
2014,Justin Morneau,2.3,1737
2011,Todd Helton,2.3,432
1995,Vinny Castilla,2.3,84
2010,Miguel Olivo,2.2,1638
1999,Terry Shumpert,2.2,449
1995,Eric Young,2.2,716
2001,Juan Pierre,2.2,443
2012,Tyler Colvin,2.2,5310
1997,Jeff Reed,2.1,1010770
2016,Tony Wolters,2.1,11470
2007,Garrett Atkins,2.1,1790
2018,DJ LeMahieu,2.1,9874
2021,Ryan McMahon,2.1,15112
1997,Eric Young,2.1,716
2003,Chris Stynes,2.1,303
2011,Dexter Fowler,2.1,4062
2019,Charlie Blackmon,2.0,7859
2009,Carlos Gonzalez,2.0,7287
2017,DJ LeMahieu,2.0,9874
2006,Todd Helton,1.9,432
2013,Dexter Fowler,1.9,4062
2015,DJ LeMahieu,1.9,9874
2005,Garrett Atkins,1.9,1790
2000,Larry Walker,1.9,455
2018,Carlos Gonzalez,1.8,7287
2013,Nolan Arenado,1.8,9777
2002,Juan Pierre,1.8,443
1995,Dante Bichette,1.8,1000946
1994,Andres Galarraga,1.7,1390
2005,Clint Barmes,1.7,1830
2008,Clint Barmes,1.7,1830
