Season,Name,WAR,playerid
1946,Hal Newhouser,9.5,1009535
2009,Justin Verlander,8.4,8700
1971,Mickey Lolich,8.3,1007712
1945,Hal Newhouser,8.2,1009535
1944,Dizzy Trout,7.4,1013196
1944,Hal Newhouser,7.3,1009535
1968,Denny McLain,7.2,1008603
1971,Joe Coleman,7.1,1002428
1969,Denny McLain,7.0,1008603
1947,Hal Newhouser,6.9,1009535
2012,Justin Verlander,6.9,8700
1960,Jim Bunning,6.9,1001653
2010,Justin Verlander,6.7,8700
1948,Hal Newhouser,6.5,1009535
2011,Justin Verlander,6.5,8700
1961,Jim Bunning,6.3,1001653
1935,Schoolboy Rowe,6.3,1011259
1983,Jack Morris,6.2,1009211
1972,Mickey Lolich,6.1,1007712
1969,Mickey Lolich,6.0,1007712
2013,Max Scherzer,5.9,3137
1949,Hal Newhouser,5.9,1009535
1961,Frank Lary,5.9,1007364
2013,Anibal Sanchez,5.9,3284
1939,Bobo Newsom,5.6,1009546
2014,Max Scherzer,5.6,3137
2006,Jeremy Bonderman,5.6,1667
1940,Bobo Newsom,5.6,1009546
1956,Frank Lary,5.5,1007364
1929,George Uhle,5.5,1013266
1973,Mickey Lolich,5.4,1007712
2016,Justin Verlander,5.4,8700
1934,Schoolboy Rowe,5.3,1011259
1949,Virgil Trucks,5.3,1013203
1946,Dizzy Trout,5.3,1013196
1960,Frank Lary,5.3,1007364
1915,Harry Coveleski,5.2,1002681
1962,Hank Aguirre,5.2,1000087
1941,Bobo Newsom,5.2,1009546
1970,Mickey Lolich,5.1,1007712
1939,Tommy Bridges,5.1,1001421
1965,Mickey Lolich,5.1,1007712
1923,Hooks Dauss,5.0,1003011
1936,Tommy Bridges,4.9,1001421
1975,Mickey Lolich,4.9,1007712
1997,Justin Thompson,4.9,8217
1916,Harry Coveleski,4.8,1002681
1985,Walt Terrell,4.8,1012924
2013,Justin Verlander,4.8,8700
1959,Don Mossi,4.8,1009250
1936,Schoolboy Rowe,4.8,1011259
1958,Frank Lary,4.8,1007364
1985,Jack Morris,4.7,1009211
1961,Don Mossi,4.7,1009250
1976,Mark Fidrych,4.7,1004023
1937,Tommy Bridges,4.6,1001421
1926,Earl Whitehill,4.6,1013866
1962,Jim Bunning,4.6,1001653
1956,Billy Hoeft,4.6,1005893
1967,Mickey Lolich,4.6,1007712
1950,Fred Hutchinson,4.5,1006238
1908,Bill Donovan,4.5,1003393
2012,Max Scherzer,4.5,3137
1940,Tommy Bridges,4.5,1001421
1955,Frank Lary,4.5,1007364
1955,Billy Hoeft,4.4,1005893
1982,Dan Petry,4.4,1010246
1934,Tommy Bridges,4.4,1001421
1942,Al Benton,4.4,1000853
1947,Fred Hutchinson,4.4,1006238
1973,Joe Coleman,4.4,1002428
1964,Mickey Lolich,4.4,1007712
1998,Justin Thompson,4.4,8217
1944,Stubby Overmire,4.4,1009911
1959,Frank Lary,4.3,1007364
1943,Virgil Trucks,4.2,1013203
1943,Tommy Bridges,4.2,1001421
1984,Dan Petry,4.2,1010246
1903,Bill Donovan,4.2,1003393
1914,Hooks Dauss,4.2,1003011
1915,Hooks Dauss,4.2,1003011
1909,George Mullin,4.1,1009302
1987,Jack Morris,4.1,1009211
1951,Fred Hutchinson,4.1,1006238
1945,Dizzy Trout,4.1,1013196
1987,Frank Tanana,4.1,1012818
1943,Dizzy Trout,4.1,1013196
1974,Mickey Lolich,4.1,1007712
2015,David Price,4.1,3184
2013,Doug Fister,4.1,9425
2010,Max Scherzer,4.0,3137
1946,Fred Hutchinson,4.0,1006238
2002,Mark Redman,4.0,491
1965,Denny McLain,4.0,1008603
1942,Hal White,4.0,1013877
1901,Roscoe Miller,4.0,1008929
1948,Dizzy Trout,4.0,1013196
1986,Jack Morris,4.0,1009211
2001,Jeff Weaver,4.0,503
1988,Jack Morris,4.0,1009211
1984,Jack Morris,4.0,1009211
1932,Vic Sorrell,4.0,1012283
1907,George Mullin,3.9,1009302
1957,Jim Bunning,3.9,1001653
1930,Earl Whitehill,3.9,1013866
1933,Firpo Marberry,3.9,1008100
1942,Tommy Bridges,3.9,1001421
1972,Joe Coleman,3.9,1002428
1909,Ed Summers,3.8,1012719
1908,George Mullin,3.8,1009302
1948,Virgil Trucks,3.8,1013203
1943,Hal Newhouser,3.8,1009535
1935,Tommy Bridges,3.7,1001421
1980,Jack Morris,3.7,1009211
1957,Billy Hoeft,3.7,1005893
2009,Edwin Jackson,3.7,1841
2007,Justin Verlander,3.7,8700
1979,Jack Morris,3.6,1009211
2017,Michael Fulmer,3.6,13218
1947,Dizzy Trout,3.6,1013196
1968,Earl Wilson,3.6,1014073
1984,Milt Wilcox,3.6,1013939
