Season,Name,WAR,playerid
1917,Ty Cobb,11.5,1002378
1911,Ty Cobb,11.0,1002378
1910,Ty Cobb,10.3,1002378
1961,Norm Cash,10.2,1002043
1915,Ty Cobb,9.8,1002378
1909,Ty Cobb,9.7,1002378
1923,Harry Heilmann,9.2,1005590
1912,Ty Cobb,9.1,1002378
2013,Miguel Cabrera,8.6,1744
1934,Charlie Gehringer,8.5,1004596
1937,Hank Greenberg,8.3,1004996
2007,Magglio Ordonez,8.0,248
1961,Rocky Colavito,8.0,1002404
2007,Curtis Granderson,7.9,4747
1938,Hank Greenberg,7.8,1004996
1916,Ty Cobb,7.8,1002378
1961,Al Kaline,7.7,1006678
1940,Hank Greenberg,7.7,1004996
1987,Alan Trammell,7.7,1013157
1936,Charlie Gehringer,7.6,1004596
1935,Hank Greenberg,7.6,1004996
1937,Charlie Gehringer,7.4,1004596
1955,Al Kaline,7.3,1006678
1935,Charlie Gehringer,7.3,1004596
2012,Miguel Cabrera,7.3,1744
1933,Charlie Gehringer,7.3,1004596
1913,Ty Cobb,7.2,1002378
1946,Hank Greenberg,7.2,1004996
1968,Bill Freehan,7.0,1004315
1967,Al Kaline,7.0,1006678
1907,Ty Cobb,7.0,1002378
1927,Harry Heilmann,6.9,1005590
1984,Alan Trammell,6.9,1013157
1921,Harry Heilmann,6.8,1005590
1943,Rudy York,6.7,1014354
1921,Ty Cobb,6.6,1002378
2011,Miguel Cabrera,6.6,1744
1919,Bobby Veach,6.6,1013388
1918,Ty Cobb,6.5,1002378
1990,Cecil Fielder,6.5,1004026
1934,Hank Greenberg,6.5,1004996
1925,Harry Heilmann,6.5,1005590
1958,Al Kaline,6.4,1006678
1917,Bobby Veach,6.4,1013388
1909,Donie Bush,6.4,1001749
1908,Ty Cobb,6.3,1002378
1956,Al Kaline,6.3,1006678
1922,Ty Cobb,6.3,1002378
1924,Harry Heilmann,6.2,1005590
1984,Chet Lemon,6.2,1007518
1959,Al Kaline,6.2,1006678
1959,Eddie Yost,6.2,1014357
1990,Alan Trammell,6.2,1013157
2010,Miguel Cabrera,6.1,1744
1991,Lou Whitaker,6.1,1013846
1930,Charlie Gehringer,6.1,1004596
1962,Rocky Colavito,6.0,1002404
1983,Lou Whitaker,6.0,1013846
1939,Hank Greenberg,5.9,1004996
1907,Sam Crawford,5.9,1002748
1911,Sam Crawford,5.9,1002748
1908,Matty McIntyre,5.9,1008573
1956,Charlie Maxwell,5.8,1008287
1940,Rudy York,5.8,1014354
1914,Sam Crawford,5.8,1002748
1919,Ty Cobb,5.8,1002378
2006,Carlos Guillen,5.8,1079
1967,Bill Freehan,5.8,1004315
1986,Alan Trammell,5.7,1013157
1966,Al Kaline,5.7,1006678
1966,Dick McAuliffe,5.6,1008331
1983,Alan Trammell,5.6,1013157
1983,Chet Lemon,5.6,1007518
1909,Sam Crawford,5.6,1002748
1991,Mickey Tettleton,5.6,1012939
1945,Roy Cullenbine,5.5,1002861
1946,Roy Cullenbine,5.5,1002861
2004,Carlos Guillen,5.4,1079
1925,Ty Cobb,5.4,1002378
2016,Ian Kinsler,5.4,6195
1910,Donie Bush,5.4,1001749
1914,Ty Cobb,5.4,1002378
1968,Jim Northrup,5.3,1009641
2007,Placido Polanco,5.3,1176
1985,Kirk Gibson,5.3,1004669
1921,Bobby Veach,5.3,1013388
1988,Alan Trammell,5.3,1013157
1933,Billy Rogell,5.3,1011128
1968,Willie Horton,5.2,1006038
1982,Lance Parrish,5.2,1010021
1903,Sam Crawford,5.2,1002748
1938,Charlie Gehringer,5.2,1004596
1924,Ty Cobb,5.2,1002378
1965,Norm Cash,5.2,1002043
1993,Tony Phillips,5.2,1010300
1968,Dick McAuliffe,5.2,1008331
2014,Miguel Cabrera,5.2,1744
2015,J.D. Martinez,5.2,6184
1969,Jim Northrup,5.2,1009641
1950,George Kell,5.2,1006783
1956,Harvey Kuenn,5.1,1007200
1908,Sam Crawford,5.1,1002748
1989,Lou Whitaker,5.1,1013846
1938,Rudy York,5.1,1014354
2012,Austin Jackson,5.1,9848
1964,Al Kaline,5.1,1006678
1964,Bill Freehan,5.1,1004315
1925,Al Wingo,5.1,1014131
1929,Charlie Gehringer,5.1,1004596
1923,Ty Cobb,5.1,1002378
2009,Miguel Cabrera,5.1,1744
1978,Jason Thompson,5.1,1013014
2012,Prince Fielder,5.0,4613
1922,Harry Heilmann,5.0,1005590
1914,Donie Bush,5.0,1001749
1992,Mickey Tettleton,5.0,1012939
1971,Bill Freehan,4.9,1004315
1983,Lance Parrish,4.9,1010021
1926,Heinie Manush,4.9,1008089
1905,Sam Crawford,4.9,1002748
1949,George Kell,4.9,1006783
1926,Harry Heilmann,4.9,1005590
1954,Ray Boone,4.9,1001189
1957,Charlie Maxwell,4.9,1008287
1903,Jimmy Barrett,4.9,1000596
1950,Vic Wertz,4.9,1013795
1939,Charlie Gehringer,4.8,1004596
2016,Miguel Cabrera,4.8,1744
1982,Lou Whitaker,4.8,1013846
