Season,Name,WAR,playerid
1979,J.R. Richard,8.9,1010913
1986,Mike Scott,8.6,1011691
2019,Gerrit Cole,7.3,13125
1969,Larry Dierker,7.3,1003288
2018,Justin Verlander,6.6,8700
2004,Roy Oswalt,6.5,571
1978,J.R. Richard,6.4,1010913
1987,Nolan Ryan,6.4,1011348
2019,Justin Verlander,6.3,8700
2002,Roy Oswalt,6.2,571
2006,Roy Oswalt,6.1,571
1966,Mike Cuellar,6.1,1002853
2005,Roy Oswalt,6.1,571
2005,Roger Clemens,6.0,815
1999,Shane Reynolds,6.0,574
2018,Gerrit Cole,5.9,13125
2005,Andy Pettitte,5.8,840
2004,Roger Clemens,5.7,815
2015,Dallas Keuchel,5.7,9434
1996,Shane Reynolds,5.5,574
1987,Mike Scott,5.4,1011691
1962,Turk Farrell,5.3,1003950
1967,Mike Cuellar,5.1,1002853
1971,Don Wilson,5.0,1014071
1977,J.R. Richard,5.0,1010913
2007,Roy Oswalt,4.9,571
1999,Mike Hampton,4.9,430
1964,Bob Bruce,4.9,1001573
1995,Shane Reynolds,4.9,574
1999,Jose Lima,4.7,475
1998,Shane Reynolds,4.5,574
1980,Nolan Ryan,4.5,1011348
1962,Ken Johnson,4.5,1006477
1969,Don Wilson,4.4,1014071
1985,Nolan Ryan,4.4,1011348
1972,Don Wilson,4.4,1014071
1963,Turk Farrell,4.3,1003950
1973,Dave Roberts,4.2,1011031
2001,Roy Oswalt,4.2,571
1982,Joe Niekro,4.2,1009582
1982,Don Sutton,4.2,1012745
2009,Wandy Rodriguez,4.1,2586
1971,Jack Billingham,4.1,1000970
1993,Doug Drabek,4.1,1003473
1971,Ken Forsch,4.1,1004234
1963,Ken Johnson,4.1,1006477
1997,Darryl Kile,4.0,1163
1973,Jerry Reuss,4.0,1010853
1984,Nolan Ryan,4.0,1011348
1981,Don Sutton,3.9,1012745
2010,Brett Myers,3.9,962
1981,Nolan Ryan,3.8,1011348
1969,Denny Lemaster,3.8,1007512
1968,Dave Giusti,3.8,1004748
1968,Don Wilson,3.8,1014071
1980,J.R. Richard,3.8,1010913
2004,Brad Lidge,3.7,563
1963,Don Nottebart,3.7,1009651
1996,Darryl Kile,3.7,1163
1970,Jack Billingham,3.7,1000970
2008,Roy Oswalt,3.7,571
1970,Larry Dierker,3.6,1003288
1999,Billy Wagner,3.6,578
2010,Wandy Rodriguez,3.6,2586
2015,Collin McHugh,3.5,7531
1988,Mike Scott,3.5,1011691
1982,Nolan Ryan,3.5,1011348
1986,Bob Knepper,3.5,1007031
2009,Roy Oswalt,3.5,571
2014,Dallas Keuchel,3.5,9434
2006,Roger Clemens,3.4,815
1988,Nolan Ryan,3.4,1011348
1965,Bob Bruce,3.4,1001573
2006,Andy Pettitte,3.4,840
1980,Joe Niekro,3.4,1009582
1983,Nolan Ryan,3.4,1011348
1993,Mark Portugal,3.4,1010460
2002,Wade Miller,3.4,568
1971,Larry Dierker,3.3,1003288
2000,Chris Holt,3.3,1005983
2001,Octavio Dotel,3.3,555
1998,Randy Johnson,3.3,60
1991,Pete Harnisch,3.3,1005374
2003,Wade Miller,3.3,568
1972,Larry Dierker,3.3,1003288
1965,Turk Farrell,3.3,1003950
1968,Mike Cuellar,3.3,1002853
1976,J.R. Richard,3.3,1010913
2017,Brad Peacock,3.2,5401
1967,Don Wilson,3.2,1014071
1986,Nolan Ryan,3.2,1011348
2018,Dallas Keuchel,3.2,9434
1993,Pete Harnisch,3.2,1005374
2017,Charlie Morton,3.1,4676
2007,Wandy Rodriguez,3.1,2586
1997,Mike Hampton,3.1,430
1983,Joe Niekro,3.1,1009582
2014,Collin McHugh,3.0,7531
1997,Shane Reynolds,3.0,574
1999,Scott Elarton,3.0,426
1974,Dave Roberts,2.9,1011031
1994,Doug Drabek,2.9,1003473
2008,Wandy Rodriguez,2.9,2586
1964,Ken Johnson,2.9,1006477
1999,Chris Holt,2.9,1005983
1962,Hal Woodeshick,2.9,1014215
1972,Jerry Reuss,2.8,1010853
2017,Lance McCullers Jr.,2.8,14120
2001,Wade Miller,2.8,568
2018,Charlie Morton,2.8,4676
1985,Bob Knepper,2.8,1007031
1987,Dave Smith,2.8,1012117
1990,Danny Darwin,2.8,1002996
2002,Octavio Dotel,2.8,555
1963,Bob Bruce,2.7,1001573
1967,Dave Giusti,2.7,1004748
1994,Shane Reynolds,2.7,574
1998,Jose Lima,2.7,475
2021,Luis Garcia,2.7,23735
2016,Chris Devenski,2.7,12763
2016,Collin McHugh,2.7,7531
1968,Denny Lemaster,2.7,1007512
2003,Tim Redding,2.7,573
1981,Bob Knepper,2.7,1007031
2012,Lucas Harrell,2.7,7541
1989,Jim Deshaies,2.7,1003228
1974,Larry Dierker,2.6,1003288
1987,Danny Darwin,2.6,1002996
1992,Doug Jones,2.6,1006552
1995,Doug Drabek,2.6,1003473
2003,Roy Oswalt,2.6,571
1989,Mike Scott,2.6,1011691
1983,Bob Knepper,2.6,1007031
1973,Ken Forsch,2.6,1004234
2001,Shane Reynolds,2.6,574
