Season,Name,WAR,playerid
1978,Ron Guidry,9.1,1005124
1904,Jack Chesbro,8.5,1002179
1997,Andy Pettitte,7.2,840
2001,Mike Mussina,6.9,837
1979,Tommy John,6.9,1006515
1937,Lefty Gomez,6.8,1004821
1964,Whitey Ford,6.8,1004227
1969,Fritz Peterson,6.8,1010227
1910,Russ Ford,6.6,1004223
1943,Spud Chandler,6.5,1002133
1979,Ron Guidry,6.2,1005124
2003,Mike Mussina,6.1,837
1906,Al Orth,6.0,1009857
1992,Melido Perez,5.9,1010183
2009,CC Sabathia,5.8,404
2001,Andy Pettitte,5.8,840
1961,Whitey Ford,5.8,1004227
2011,CC Sabathia,5.8,404
1975,Catfish Hunter,5.7,1006199
1977,Ron Guidry,5.7,1005124
2001,Roger Clemens,5.6,815
2017,Luis Severino,5.6,15890
1906,Jack Chesbro,5.6,1002179
2010,CC Sabathia,5.5,404
1983,Dave Righetti,5.4,1010958
1911,Russ Ford,5.4,1004223
2018,Luis Severino,5.4,15890
1946,Spud Chandler,5.4,1002133
1921,Waite Hoyt,5.2,1006115
1993,Jimmy Key,5.2,1006885
1963,Whitey Ford,5.2,1004227
2006,Mike Mussina,5.2,837
1998,David Cone,5.1,1680
1938,Lefty Gomez,5.1,1004821
2003,Andy Pettitte,5.1,840
1905,Jack Chesbro,5.1,1002179
1928,George Pipgras,5.0,1010363
1956,Whitey Ford,5.0,1004227
1997,David Cone,4.9,1680
1962,Whitey Ford,4.9,1004227
1985,Ron Guidry,4.9,1005124
1934,Lefty Gomez,4.8,1004821
1963,Al Downing,4.7,1003450
1958,Whitey Ford,4.7,1004227
1980,Tommy John,4.7,1006515
2016,Masahiro Tanaka,4.7,15764
2021,Gerrit Cole,4.7,13125
1920,Jack Quinn,4.6,1010605
1921,Carl Mays,4.6,1008313
1901,Joe McGinnity,4.6,1008527
1938,Red Ruffing,4.6,1011296
1903,Jack Chesbro,4.6,1002179
1965,Whitey Ford,4.6,1004227
1996,Andy Pettitte,4.6,840
1952,Allie Reynolds,4.6,1010860
1924,Herb Pennock,4.5,1010161
2002,Mike Mussina,4.5,837
1904,Jack Powell,4.5,1010487
2003,Roger Clemens,4.5,815
1942,Tiny Bonham,4.5,1001166
1950,Vic Raschi,4.5,1010702
1937,Red Ruffing,4.5,1011296
1946,Bill Bevens,4.5,1000937
2002,David Wells,4.5,855
1965,Mel Stottlemyre,4.5,1012579
1901,Harry Howell,4.5,1006097
1998,David Wells,4.4,855
1968,Stan Bahnsen,4.4,1000414
1970,Fritz Peterson,4.4,1010227
1971,Mel Stottlemyre,4.4,1012579
1925,Herb Pennock,4.4,1010161
2002,Roger Clemens,4.3,815
1997,David Wells,4.3,855
1931,Lefty Gomez,4.3,1004821
1996,Mariano Rivera,4.3,844
1903,Jesse Tannehill,4.3,1012822
1991,Scott Sanderson,4.2,1011422
1926,Herb Pennock,4.2,1010161
1948,Vic Raschi,4.2,1010702
1950,Allie Reynolds,4.2,1010860
1964,Al Downing,4.2,1003450
1922,Bob Shawkey,4.1,1011825
1973,Mel Stottlemyre,4.1,1012579
1971,Fritz Peterson,4.1,1010227
1951,Ed Lopat,4.1,1007748
2012,CC Sabathia,4.1,404
2005,Randy Johnson,4.1,60
1980,Rudy May,4.1,1008310
1905,Al Orth,4.1,1009857
1974,Pat Dobson,4.1,1003345
2007,Andy Pettitte,4.0,840
1982,Ron Guidry,4.0,1005124
1962,Ralph Terry,4.0,1012929
1951,Vic Raschi,4.0,1010702
1975,Rudy May,4.0,1008310
1943,Butch Wensloff,4.0,1013778
1927,Waite Hoyt,4.0,1006115
1994,Jimmy Key,4.0,1006885
1976,Catfish Hunter,3.9,1006199
1967,Al Downing,3.9,1003450
1920,Bob Shawkey,3.9,1011825
1983,Ron Guidry,3.9,1005124
1980,Ron Guidry,3.9,1005124
1928,Herb Pennock,3.9,1010161
2000,Andy Pettitte,3.9,840
2002,Andy Pettitte,3.9,840
1932,Red Ruffing,3.8,1011296
2006,Chien-Ming Wang,3.8,2074
2003,David Wells,3.8,855
1984,Phil Niekro,3.8,1009583
2007,Chien-Ming Wang,3.7,2074
1975,Doc Medich,3.7,1008714
1915,Ray Caldwell,3.7,1001832
1923,Joe Bush,3.7,1001754
1912,Jack Warhop,3.7,1013628
1950,Ed Lopat,3.7,1007748
1969,Mel Stottlemyre,3.7,1012579
1968,Fritz Peterson,3.6,1010227
2000,Roger Clemens,3.6,815
2008,Mike Mussina,3.6,837
1982,Rich Gossage,3.6,1004894
1919,Jack Quinn,3.6,1010605
1933,Red Ruffing,3.6,1011296
1926,Waite Hoyt,3.6,1006115
1966,Mel Stottlemyre,3.6,1012579
2015,Michael Pineda,3.6,5372
1948,Ed Lopat,3.6,1007748
1963,Jim Bouton,3.6,1001241
2004,Jon Lieber,3.5,287
1987,Tommy John,3.5,1006515
2019,James Paxton,3.5,11828
1949,Vic Raschi,3.5,1010702
1973,Doc Medich,3.5,1008714
1909,Joe Lake,3.5,1007262
1983,Rich Gossage,3.5,1004894
1916,Bob Shawkey,3.5,1011825
1995,Jack McDowell,3.5,1008473
1966,Fritz Peterson,3.5,1010227
1981,Dave Righetti,3.5,1010958
2009,Andy Pettitte,3.5,840
1910,Hippo Vaughn,3.4,1013384
1920,Carl Mays,3.4,1008313
1999,David Cone,3.4,1680
1939,Red Ruffing,3.4,1011296
1931,Herb Pennock,3.4,1010161
1922,Waite Hoyt,3.4,1006115
1911,Ray Caldwell,3.4,1001832
1982,Rudy May,3.4,1008310
