Season,Name,WAR,playerid
1923,Babe Ruth,15.0,1011327
1921,Babe Ruth,13.9,1011327
1920,Babe Ruth,13.3,1011327
1927,Babe Ruth,13.0,1011327
1924,Babe Ruth,12.5,1011327
1927,Lou Gehrig,12.5,1004598
1926,Babe Ruth,12.0,1011327
1956,Mickey Mantle,11.5,1008082
1957,Mickey Mantle,11.4,1008082
1931,Babe Ruth,10.7,1011327
1934,Lou Gehrig,10.7,1004598
1928,Babe Ruth,10.6,1011327
1930,Babe Ruth,10.5,1011327
1961,Mickey Mantle,10.3,1008082
1955,Mickey Mantle,9.8,1008082
1941,Joe DiMaggio,9.8,1003311
1985,Rickey Henderson,9.7,194
1928,Lou Gehrig,9.7,1004598
1936,Lou Gehrig,9.7,1004598
1930,Lou Gehrig,9.6,1004598
2007,Alex Rodriguez,9.6,1274
1931,Lou Gehrig,9.2,1004598
1937,Joe DiMaggio,9.1,1003311
2005,Alex Rodriguez,9.1,1274
1944,Snuffy Stirnweiss,9.0,1012546
1945,Snuffy Stirnweiss,8.9,1012546
1942,Joe Gordon,8.8,1004874
1958,Mickey Mantle,8.8,1008082
1932,Babe Ruth,8.7,1011327
1935,Lou Gehrig,8.7,1004598
1939,Joe DiMaggio,8.5,1003311
1937,Lou Gehrig,8.5,1004598
2017,Aaron Judge,8.3,15640
1976,Graig Nettles,8.1,1009517
1932,Lou Gehrig,8.1,1004598
1929,Babe Ruth,7.8,1011327
1940,Joe DiMaggio,7.5,1003311
1972,Bobby Murcer,7.4,1009338
1999,Derek Jeter,7.4,826
2012,Robinson Cano,7.3,3269
1941,Charlie Keller,7.3,1006768
1948,Joe DiMaggio,7.3,1003311
1929,Lou Gehrig,7.3,1004598
1942,Charlie Keller,7.3,1006768
1986,Don Mattingly,7.2,1008261
1929,Tony Lazzeri,7.2,1007422
1960,Roger Maris,7.2,1008110
1933,Lou Gehrig,7.2,1004598
1943,Charlie Keller,7.1,1006768
1961,Roger Maris,7.1,1008110
1926,Lou Gehrig,7.0,1004598
1960,Mickey Mantle,6.9,1008082
1950,Phil Rizzuto,6.9,1011011
2011,Curtis Granderson,6.9,4747
1927,Earle Combs,6.8,1002478
1943,Joe Gordon,6.8,1004874
1937,Bill Dickey,6.7,1003271
1954,Mickey Mantle,6.7,1008082
1933,Babe Ruth,6.7,1011327
2009,Derek Jeter,6.7,826
1959,Mickey Mantle,6.6,1008082
1952,Mickey Mantle,6.6,1008082
1946,Charlie Keller,6.6,1006768
2004,Alex Rodriguez,6.6,1274
2002,Jason Giambi,6.6,818
1939,Joe Gordon,6.6,1004874
1973,Thurman Munson,6.6,1009334
1942,Joe DiMaggio,6.5,1003311
1971,Bobby Murcer,6.5,1009338
1922,Babe Ruth,6.5,1011327
1939,Red Rolfe,6.5,1011157
1980,Willie Randolph,6.5,1010694
2010,Robinson Cano,6.4,3269
1986,Rickey Henderson,6.4,194
1956,Yogi Berra,6.4,1000898
1995,Bernie Williams,6.4,857
1927,Tony Lazzeri,6.3,1007422
2010,Brett Gardner,6.2,9927
1998,Derek Jeter,6.2,826
1957,Gil McDougald,6.2,1008471
1931,Ben Chapman,6.1,1002141
2006,Derek Jeter,6.1,826
2000,Jorge Posada,6.1,841
1940,Joe Gordon,6.1,1004874
1984,Don Mattingly,6.1,1008261
1985,Don Mattingly,6.1,1008261
2003,Jorge Posada,6.0,841
1978,Graig Nettles,6.0,1009517
1950,Yogi Berra,6.0,1000898
1962,Mickey Mantle,6.0,1008082
1964,Elston Howard,6.0,1006079
1938,Joe DiMaggio,5.9,1003311
1919,Roger Peckinpaugh,5.9,1010116
2013,Robinson Cano,5.9,3269
1954,Yogi Berra,5.9,1000898
1941,Joe Gordon,5.9,1004874
1963,Elston Howard,5.9,1006079
2008,Alex Rodriguez,5.8,1274
1944,Nick Etten,5.8,1003848
1952,Yogi Berra,5.8,1000898
1971,Roy White,5.8,1013890
1948,Tommy Henrich,5.8,1005664
1942,Phil Rizzuto,5.8,1011011
1944,Johnny Lindell,5.8,1007619
1939,George Selkirk,5.7,1011732
1911,Birdie Cree,5.7,1002752
1970,Roy White,5.7,1013890
2007,Jorge Posada,5.6,841
1950,Joe DiMaggio,5.6,1003311
1940,Charlie Keller,5.6,1006768
2002,Alfonso Soriano,5.6,847
1975,Thurman Munson,5.6,1009334
1964,Mickey Mantle,5.5,1008082
1938,Bill Dickey,5.5,1003271
1976,Mickey Rivers,5.5,1011005
1988,Rickey Henderson,5.5,194
1977,Graig Nettles,5.4,1009517
1998,Paul O'Neill,5.4,1009818
1953,Yogi Berra,5.4,1000898
1990,Roberto Kelly,5.4,1006815
1961,Elston Howard,5.4,1006079
1979,Willie Randolph,5.4,1010694
2011,Russell Martin,5.3,4616
1973,Graig Nettles,5.3,1009517
2019,DJ LeMahieu,5.3,9874
1936,Bill Dickey,5.3,1003271
1987,Don Mattingly,5.3,1008261
1997,Tino Martinez,5.3,1168
1951,Yogi Berra,5.3,1000898
1939,Bill Dickey,5.3,1003271
1975,Bobby Bonds,5.3,1001157
1978,Willie Randolph,5.2,1010694
1932,Tony Lazzeri,5.2,1007422
1966,Tom Tresh,5.2,1013179
1934,Babe Ruth,5.2,1011327
1946,Joe DiMaggio,5.2,1003311
2002,Derek Jeter,5.2,826
1955,Yogi Berra,5.2,1000898
1941,Tommy Henrich,5.2,1005664
2009,Mark Teixeira,5.2,1281
1936,Joe DiMaggio,5.2,1003311
2011,Robinson Cano,5.2,3269
1962,Clete Boyer,5.1,1001282
1976,Roy White,5.1,1013890
1955,Gil McDougald,5.1,1008471
1972,Roy White,5.1,1013890
2018,Aaron Judge,5.1,15640
2003,Alfonso Soriano,5.1,847
1936,Red Rolfe,5.1,1011157
1997,Bernie Williams,5.1,857
2011,Brett Gardner,5.1,9927
1987,Rickey Henderson,5.0,194
1930,Earle Combs,5.0,1002478
2003,Jason Giambi,5.0,818
1998,Scott Brosius,5.0,1001477
1970,Thurman Munson,5.0,1009334
2018,Aaron Hicks,5.0,5297
1980,Reggie Jackson,5.0,1006308
1988,Dave Winfield,5.0,1014127
1956,Gil McDougald,4.9,1008471
1938,Lou Gehrig,4.9,1004598
2000,Bernie Williams,4.9,857
2002,Bernie Williams,4.9,857
1993,Mike Stanley,4.9,1012416
1947,Joe DiMaggio,4.9,1003311
1952,Phil Rizzuto,4.9,1011011
1999,Bernie Williams,4.9,857
1953,Mickey Mantle,4.9,1008082
1920,Del Pratt,4.9,1010512
1939,Charlie Keller,4.9,1006768
1977,Reggie Jackson,4.9,1006308
1998,Bernie Williams,4.9,857
2001,Bernie Williams,4.8,857
1984,Dave Winfield,4.8,1014127
1955,Hank Bauer,4.8,1000679
