Season,Name,WAR,playerid
1904,Rube Waddell,9.2,1013467
1971,Vida Blue,8.8,1001094
1930,Lefty Grove,8.3,1005099
1903,Rube Waddell,8.0,1013467
1976,Vida Blue,7.6,1001094
1931,Lefty Grove,7.3,1005099
1932,Lefty Grove,7.1,1005099
1905,Rube Waddell,7.0,1013467
1902,Rube Waddell,6.8,1013467
1928,Lefty Grove,6.6,1005099
1929,Lefty Grove,6.5,1005099
1927,Lefty Grove,6.3,1005099
1907,Rube Waddell,6.2,1013467
1952,Bobby Shantz,6.1,1011804
1926,Lefty Grove,6.0,1005099
1980,Mike Norris,6.0,1009637
2003,Tim Hudson,5.8,921
1974,Catfish Hunter,5.8,1006199
1905,Eddie Plank,5.7,1010385
2001,Mark Mulder,5.7,932
1910,Jack Coombs,5.4,1002583
1960,Ray Herbert,5.3,1005684
2007,Joe Blanton,5.3,4849
1904,Eddie Plank,5.2,1010385
1967,Catfish Hunter,5.2,1006199
1909,Chief Bender,5.2,1000827
1974,Ken Holtzman,5.2,1005989
1975,Vida Blue,5.1,1001094
1931,George Earnshaw,5.1,1003633
1974,Vida Blue,5.1,1001094
2001,Tim Hudson,5.1,921
1988,Dave Stewart,5.1,1012519
1973,Ken Holtzman,5.0,1005989
1902,Eddie Plank,4.9,1010385
1961,Jim Archer,4.9,1000291
1977,Vida Blue,4.9,1001094
1910,Chief Bender,4.9,1000827
1990,Dave Stewart,4.9,1012519
1953,Alex Kellner,4.8,1006785
1908,Rube Vickers,4.8,1013422
1903,Eddie Plank,4.8,1010385
1987,Dave Stewart,4.8,1012519
2001,Barry Zito,4.8,944
1933,Lefty Grove,4.7,1005099
2002,Tim Hudson,4.7,921
1906,Rube Waddell,4.7,1013467
1907,Eddie Plank,4.7,1010385
2007,Dan Haren,4.7,1757
2004,Tim Hudson,4.6,921
2003,Mark Mulder,4.5,932
2011,Brandon McCarthy,4.5,4662
1972,Catfish Hunter,4.5,1006199
2002,Barry Zito,4.5,944
1998,Kenny Rogers,4.5,1277
1908,Eddie Plank,4.5,1010385
1944,Bobo Newsom,4.5,1009546
1913,Eddie Plank,4.4,1010385
1989,Mike Moore,4.4,1009122
2003,Barry Zito,4.4,944
1906,Chief Bender,4.4,1000827
1907,Chief Bender,4.3,1000827
1930,George Earnshaw,4.3,1003633
1999,Gil Heredia,4.2,1005686
1901,Eddie Plank,4.2,1010385
2004,Rich Harden,4.1,1772
1948,Lou Brissie,4.1,1001442
1924,Eddie Rommel,4.1,1011174
1976,Rollie Fingers,4.1,1004051
1935,Johnny Marcum,4.1,1008103
1928,Jack Quinn,4.1,1010605
1995,Todd Stottlemyre,4.1,75
2013,Bartolo Colon,4.0,375
1925,Slim Harriss,4.0,1005431
2015,Sonny Gray,3.9,12768
1969,Chuck Dobson,3.9,1003343
1929,George Earnshaw,3.9,1003633
2002,Mark Mulder,3.9,932
2006,Dan Haren,3.8,1757
2019,Liam Hendriks,3.8,3548
1999,Tim Hudson,3.8,921
1913,Chief Bender,3.8,1000827
