Season,Name,WAR,playerid
1972,Steve Carlton,11.1,1001964
1915,Pete Alexander,9.6,1000128
1917,Pete Alexander,9.0,1000128
1980,Steve Carlton,8.8,1001964
2011,Roy Halladay,8.7,1303
1953,Robin Roberts,8.4,1011046
1890,Kid Gleason,8.3,1004770
1998,Curt Schilling,8.3,73
1982,Steve Carlton,8.2,1001964
1997,Curt Schilling,8.2,73
1916,Pete Alexander,7.4,1000128
1983,Steve Carlton,7.4,1001964
1965,Jim Bunning,7.3,1001653
1911,Pete Alexander,7.2,1000128
1914,Pete Alexander,7.2,1000128
1888,Charlie Buffinton,7.1,1001634
1954,Robin Roberts,7.1,1011046
2011,Cliff Lee,7.1,1636
1952,Robin Roberts,7.0,1011046
1966,Jim Bunning,6.8,1001653
1967,Jim Bunning,6.8,1001653
1951,Robin Roberts,6.7,1011046
1965,Chris Short,6.5,1011931
1944,Ken Raffensberger,6.3,1010646
2010,Roy Halladay,6.2,1303
2021,Zack Wheeler,5.9,10310
1983,John Denny,5.8,1003210
1892,Gus Weyhing,5.8,1013820
1937,Claude Passeau,5.7,1010046
1889,Charlie Buffinton,5.7,1001634
1964,Jim Bunning,5.6,1001653
2013,Cliff Lee,5.6,1636
1964,Chris Short,5.6,1011931
1923,Jimmy Ring,5.5,1010972
1913,Pete Alexander,5.5,1000128
2018,Aaron Nola,5.5,16149
1889,Ben Sanders,5.4,1011413
1934,Curt Davis,5.4,1003043
1920,Eppa Rixey,5.3,1011008
1981,Steve Carlton,5.3,1001964
1950,Robin Roberts,5.3,1011046
1931,Ray Benge,5.2,1000831
1916,Al Demaree,5.2,1003187
1926,Hal Carlson,5.1,1001961
2011,Cole Hamels,5.1,4972
1976,Steve Carlton,5.1,1001964
1977,Steve Carlton,5.1,1001964
1885,Charlie Ferguson,5.1,1003987
1955,Robin Roberts,5.1,1011046
1886,Charlie Ferguson,5.0,1003987
2012,Cliff Lee,5.0,1636
1917,Eppa Rixey,4.9,1011008
1947,Dutch Leonard,4.9,1007533
1888,Ben Sanders,4.9,1011413
1954,Curt Simmons,4.9,1011980
1912,Pete Alexander,4.9,1000128
1887,Charlie Ferguson,4.9,1003987
1974,Steve Carlton,4.9,1001964
1887,Charlie Buffinton,4.8,1001634
1895,Jack Taylor,4.8,1012878
1953,Curt Simmons,4.8,1011980
1948,Dutch Leonard,4.8,1007533
1993,Tommy Greene,4.8,1005013
1902,Doc White,4.7,1013864
1984,Jerry Koosman,4.7,1007103
2013,Cole Hamels,4.7,4972
1996,Curt Schilling,4.7,73
2003,Kevin Millwood,4.7,106
2008,Cole Hamels,4.6,4972
1971,Rick Wise,4.6,1014155
1916,Eppa Rixey,4.6,1011008
2012,Cole Hamels,4.6,4972
1957,Curt Simmons,4.6,1011980
1991,Terry Mulholland,4.6,665
1978,Larry Christenson,4.6,1002215
2017,Aaron Nola,4.5,16149
1993,Curt Schilling,4.5,73
1887,Dan Casey,4.5,1002036
1973,Steve Carlton,4.5,1001964
1959,Jim Owens,4.5,1009923
1958,Robin Roberts,4.5,1011046
1936,Claude Passeau,4.5,1010046
1952,Curt Simmons,4.5,1011980
2014,Cole Hamels,4.5,4972
1960,Gene Conley,4.4,1002507
1890,Tom Vickery,4.3,1013423
1979,Steve Carlton,4.3,1001964
1969,Grant Jackson,4.3,1006298
1908,George McQuillan,4.3,1008682
1957,Jack Sanford,4.2,1011432
1982,Larry Christenson,4.2,1002215
1952,Russ Meyer,4.2,1008833
1952,Karl Drews,4.2,1003499
1922,Lee Meadows,4.2,1008705
1992,Curt Schilling,4.2,73
1893,Gus Weyhing,4.1,1013820
1901,Al Orth,4.1,1009857
1935,Curt Davis,4.1,1003043
1970,Jim Bunning,4.1,1001653
1892,Tim Keefe,4.0,1006743
1898,Wiley Piatt,4.0,1010305
1910,Earl Moore,4.0,1009103
1925,Jimmy Ring,4.0,1010972
1956,Harvey Haddix,4.0,1005184
1907,Tully Sparks,4.0,1012306
1932,Ed Holley,4.0,1005953
1897,Jack Taylor,4.0,1012878
1974,Jim Lonborg,4.0,1007724
2007,Cole Hamels,3.9,4972
1967,Larry Jackson,3.9,1006304
1906,Tully Sparks,3.9,1012306
1907,Frank Corridon,3.9,1002640
1913,Tom Seaton,3.9,1011706
1925,Hal Carlson,3.9,1001961
1921,Jimmy Ring,3.9,1010972
1994,Danny Jackson,3.9,1006295
2002,Randy Wolf,3.9,976
1984,Steve Carlton,3.9,1001964
1970,Chris Short,3.9,1011931
1959,Gene Conley,3.9,1002507
1940,Kirby Higbe,3.9,1005782
1957,Harvey Haddix,3.8,1005184
1992,Terry Mulholland,3.8,665
1937,Bucky Walters,3.8,1013583
1956,Robin Roberts,3.8,1011046
1970,Rick Wise,3.8,1014155
1888,Dan Casey,3.8,1002036
1909,Earl Moore,3.8,1009103
1883,John Coleman,3.8,1002424
1959,Robin Roberts,3.8,1011046
1894,Jack Taylor,3.8,1012878
2009,Cole Hamels,3.8,4972
1982,Mike Krukow,3.8,1007185
1989,Ken Howell,3.7,1006100
1969,Rick Wise,3.7,1014155
1932,Ray Benge,3.7,1000831
1886,Dan Casey,3.7,1002036
1951,Bubba Church,3.7,1002225
1950,Curt Simmons,3.7,1011980
1968,Larry Jackson,3.6,1006304
1924,Hal Carlson,3.6,1001961
1940,Hugh Mulcahy,3.6,1009289
2021,Aaron Nola,3.6,16149
1931,Jumbo Elliott,3.6,1003741
2002,Vicente Padilla,3.6,964
2005,Cory Lidle,3.6,926
1958,Curt Simmons,3.6,1011980
2010,Cole Hamels,3.6,4972
1985,Kevin Gross,3.6,1005088
1893,Kid Carsey,3.5,1002008
1973,Wayne Twitchell,3.5,1013244
2006,Brett Myers,3.5,962
1909,George McQuillan,3.5,1008682
1901,Doc White,3.5,1013864
1975,Steve Carlton,3.5,1001964
1891,Kid Gleason,3.5,1004770
2019,Aaron Nola,3.5,16149
