Season,Name,WAR,playerid
2007,Jake Peavy,6.7,1051
2005,Jake Peavy,5.4,1051
1971,Dave Roberts,5.4,1011031
1992,Andy Benes,4.7,1144
1976,Randy Jones,4.6,1006582
2006,Jake Peavy,4.4,1051
1971,Clay Kirby,4.4,1006960
1975,Randy Jones,4.3,1006582
2010,Mat Latos,4.2,3815
1994,Andy Benes,4.2,1144
2004,Jake Peavy,4.1,1051
2011,Mat Latos,4.1,3815
2002,Brian Lawrence,3.9,1045
1991,Andy Benes,3.6,1144
1993,Andy Benes,3.5,1144
1971,Steve Arlin,3.4,1000303
1996,Joey Hamilton,3.4,328
1994,Andy Ashby,3.2,637
1995,Joey Hamilton,3.1,328
1990,Andy Benes,2.9,1144
2011,Cory Luebke,2.8,1984
2013,Andrew Cashner,2.7,8782
1970,Dave Roberts,2.6,1011031
2003,Adam Eaton,2.5,1029
2006,Clay Hensley,2.5,4593
2019,Chris Paddack,2.4,20099
2004,Adam Eaton,2.4,1029
2019,Eric Lauer,2.3,19316
1979,Bob Shirley,2.3,1011911
1982,Tim Lollar,2.3,1007715
1974,Randy Jones,2.2,1006582
2010,Clayton Richard,2.2,3551
1972,Mike Caldwell,2.2,1001830
2019,Joey Lucchesi,2.1,19320
1999,Matt Clement,2.1,271
1994,Scott Sanders,2.1,1011423
1980,Gary Lucas,2.1,1007805
2009,Luke Gregerson,2.0,4090
1994,Joey Hamilton,2.0,328
1969,Al Santorini,2.0,1011444
1985,Andy Hawkins,2.0,1005514
1989,Greg Harris,2.0,1005416
1988,Jimmy Jones,2.0,1006569
2013,Tyson Ross,2.0,7872
1973,Bill Greif,1.9,1005027
1983,Luis DeLeon,1.9,1003169
2001,Brian Lawrence,1.9,1045
1978,Bob Shirley,1.9,1011911
1975,Brent Strom,1.9,1012627
1990,Greg Harris,1.8,1005416
1974,Bill Greif,1.8,1005027
1973,Mike Caldwell,1.8,1001830
2009,Chad Gaudin,1.8,1783
2002,Jake Peavy,1.7,1051
1978,John D'Acquisto,1.7,1002919
1973,Randy Jones,1.7,1006582
2017,Luis Perdomo,1.7,14682
1987,Lance McCullers,1.7,1008436
1977,Bob Shirley,1.6,1011911
1978,Bob Owchinko,1.6,1009914
1994,Trevor Hoffman,1.6,1035
2000,Matt Clement,1.6,271
2000,Adam Eaton,1.6,1029
1974,Dave Freisleben,1.6,1004333
2021,Chris Paddack,1.6,20099
1972,Clay Kirby,1.6,1006960
1969,Joe Niekro,1.6,1009582
1983,Mark Thurmond,1.6,1013052
2016,Brad Hand,1.5,9111
1975,Dan Spillner,1.5,1012342
1982,Eric Show,1.5,1011937
1984,Craig Lefferts,1.4,1007476
2017,Dinelson Lamet,1.4,17186
1997,Joey Hamilton,1.4,328
1986,Andy Hawkins,1.3,1005514
2010,Luke Gregerson,1.3,4090
2019,Dinelson Lamet,1.3,17186
1980,Steve Mura,1.3,1009337
2019,Cal Quantrill,1.3,19312
1992,Jose Melendez,1.2,1008745
1972,Steve Arlin,1.2,1000303
1981,Steve Mura,1.2,1009337
1976,Dave Freisleben,1.2,1004333
1992,Frank Seminara,1.2,1011743
1995,Brian Williams,1.2,1013978
2013,Nick Vincent,1.1,7555
2006,Cla Meredith,1.1,7613
1977,Bob Owchinko,1.1,1009914
1981,Gary Lucas,1.1,1007805
1975,Joe McIntosh,1.1,1008572
1983,Andy Hawkins,1.1,1005514
1996,Sean Bergman,1.1,1000881
1995,Scott Sanders,1.1,1011423
1973,Rich Troedson,1.1,1013189
2007,Justin Germano,1.0,1938
2001,Adam Eaton,1.0,1029
2012,Anthony Bass,1.0,7982
2018,Joey Lucchesi,1.0,19320
1993,Doug Brocail,1.0,551
2007,Cla Meredith,1.0,7613
1976,Butch Metzger,1.0,1008811
1991,Ricky Bones,0.9,1001161
1987,Jimmy Jones,0.9,1006569
2011,Wade LeBlanc,0.9,5221
2018,Matt Strahm,0.9,13799
1989,Andy Benes,0.9,1144
2014,Jesse Hahn,0.9,13287
2018,Jose Castillo,0.9,17169
1982,Dave Dravecky,0.9,1003486
1981,Chris Welsh,0.9,1013772
1991,Jose Melendez,0.9,1008745
1975,Dave Freisleben,0.8,1004333
2018,Eric Lauer,0.8,19316
2003,Jake Peavy,0.8,1051
2016,Brandon Maurer,0.8,4878
1993,Scott Sanders,0.8,1011423
1974,Dan Spillner,0.8,1012342
1982,Luis DeLeon,0.8,1003169
2019,Luis Perdomo,0.7,14682
1997,Sterling Hitchcock,0.7,824
2017,Brandon Maurer,0.7,4878
1993,Trevor Hoffman,0.7,1035
1988,Dave Leiper,0.7,1007498
2005,Clay Hensley,0.7,4593
2010,Ryan Webb,0.7,7474
2001,Jose Nunez,0.7,1410
2013,Robbie Erlin,0.7,10354
2014,Kevin Quackenbush,0.7,12360
1986,Lance McCullers,0.7,1008436
2005,Tim Stauffer,0.7,6432
2019,Trey Wingenter,0.7,17793
1987,Eric Nolte,0.7,1009621
1969,Clay Kirby,0.6,1006960
2014,Robbie Erlin,0.6,10354
2011,Ernesto Frieri,0.6,5178
2002,Oliver Perez,0.6,1514
2003,Scott Linebrink,0.6,564
1988,Greg Harris,0.6,1005416
1985,Gene Walter,0.6,1013587
1993,Tim Worrell,0.6,1139
2018,Phil Maton,0.6,18064
1996,Bryce Florie,0.6,1004172
1986,Jimmy Jones,0.6,1006569
1994,Tim Worrell,0.6,1139
1993,Jeremy Hernandez,0.5,1005705
2015,Brandon Maurer,0.5,4878
2004,Dennis Tankersley,0.5,1054
1992,Dave Eiland,0.5,1003714
2002,Clay Condrey,0.5,1579
1986,Ed Wojna,0.5,1014183
1995,Glenn Dishman,0.5,1003324
1993,Tim Scott,0.5,1011694
2016,Colin Rea,0.5,12317
2012,Andrew Cashner,0.5,8782
1978,Eric Rasmussen,0.5,1010704
2000,Will Cunnane,0.5,274
2008,Josh Geer,0.4,4781
1973,Clay Kirby,0.4,1006960
2001,Jeremy Fikac,0.4,1031
1995,Doug Bochtler,0.4,1001107
2002,Brandon Villafuerte,0.4,1059
2009,Edward Mujica,0.4,3970
2015,Colin Rea,0.4,12317
1987,Storm Davis,0.4,1003080
2018,Luis Perdomo,0.4,14682
1986,Gene Walter,0.4,1013587
2012,Nick Vincent,0.4,7555
2009,Cesar Ramos,0.4,3357
2019,Andres Munoz,0.4,20373
2007,Jack Cassel,0.4,3052
1996,Doug Bochtler,0.4,1001107
2010,Ernesto Frieri,0.4,5178
2012,Andrew Werner,0.4,11783
1980,Tom Tellmann,0.4,1012907
2020,Chris Paddack,0.4,20099
1987,Mark Davis,0.3,1003067
2008,Cla Meredith,0.3,7613
1998,Matt Clement,0.3,271
1979,Steve Mura,0.3,1009337
2000,Kevin Walker,0.3,1060
2009,Clayton Richard,0.3,3551
2001,Kevin Walker,0.3,1060
2015,Robbie Erlin,0.3,10354
