Season,Name,WAR,playerid
1908,Christy Mathewson,10.8,1008235
1888,Tim Keefe,8.5,1006743
1969,Juan Marichal,7.8,1008106
2009,Tim Lincecum,7.6,5705
1903,Christy Mathewson,7.5,1008235
1910,Christy Mathewson,7.5,1008235
1905,Christy Mathewson,7.4,1008235
1966,Gaylord Perry,7.3,1010210
1890,Amos Rusie,7.2,1011308
1886,Tim Keefe,7.2,1006743
2008,Tim Lincecum,7.1,5705
1909,Christy Mathewson,6.9,1008235
1965,Juan Marichal,6.8,1008106
1933,Carl Hubbell,6.8,1006123
1887,Tim Keefe,6.8,1006743
1907,Christy Mathewson,6.8,1008235
1911,Christy Mathewson,6.8,1008235
1904,Christy Mathewson,6.7,1008235
1963,Juan Marichal,6.7,1008106
1884,Mickey Welch,6.6,1013757
2003,Jason Schmidt,6.6,1131
1962,Billy O'Dell,6.4,1009724
2004,Jason Schmidt,6.4,1131
1964,Juan Marichal,6.4,1008106
1970,Gaylord Perry,6.3,1010210
1894,Amos Rusie,6.3,1011308
1966,Juan Marichal,6.3,1008106
1891,Amos Rusie,6.2,1011308
1912,Christy Mathewson,6.2,1008235
1885,Mickey Welch,6.1,1013757
1975,John Montefusco,6.0,1009065
1936,Carl Hubbell,5.9,1006123
1969,Gaylord Perry,5.9,1010210
1968,Juan Marichal,5.9,1008106
1893,Amos Rusie,5.8,1011308
1951,Larry Jansen,5.7,1006358
1950,Larry Jansen,5.6,1006358
1978,Vida Blue,5.6,1001094
1967,Gaylord Perry,5.6,1010210
1968,Gaylord Perry,5.5,1010210
1895,Amos Rusie,5.5,1011308
1903,Joe McGinnity,5.5,1008527
1901,Christy Mathewson,5.4,1008235
1913,Christy Mathewson,5.3,1008235
1892,Amos Rusie,5.3,1011308
1956,Johnny Antonelli,5.3,1000277
1911,Rube Marquard,5.2,1008125
1976,John Montefusco,5.2,1009065
1889,Tim Keefe,5.2,1006743
1934,Carl Hubbell,5.1,1006123
1885,Tim Keefe,5.1,1006743
1959,Sam Jones,5.1,1006590
1915,Jeff Tesreau,5.1,1012936
1960,Mike McCormick,5.1,1008420
1894,Jouett Meekin,5.0,1008724
1948,Larry Jansen,4.9,1006358
1913,Rube Marquard,4.9,1008125
1928,Larry Benton,4.9,1000855
1951,Sal Maglie,4.9,1007968
2015,Madison Bumgarner,4.9,5524
2016,Johnny Cueto,4.9,6893
1937,Cliff Melton,4.9,1008755
1912,Rube Marquard,4.8,1008125
1897,Amos Rusie,4.8,1011308
1954,Johnny Antonelli,4.8,1000277
1930,Carl Hubbell,4.7,1006123
1971,Gaylord Perry,4.7,1010210
1905,Red Ames,4.7,1000210
1968,Ray Sadecki,4.6,1011360
1904,Joe McGinnity,4.6,1008527
1983,Atlee Hammaker,4.6,1005281
1906,Joe McGinnity,4.6,1008527
2011,Matt Cain,4.6,4732
1978,Bob Knepper,4.5,1007031
1993,John Burkett,4.5,179
2000,Livan Hernandez,4.5,1116
2002,Jason Schmidt,4.5,1131
1993,Bill Swift,4.5,1012788
1937,Carl Hubbell,4.5,1006123
2001,Russ Ortiz,4.4,1124
1975,Ed Halicki,4.4,1005228
1887,Mickey Welch,4.4,1013757
1909,Red Ames,4.4,1000210
1932,Carl Hubbell,4.4,1006123
2011,Madison Bumgarner,4.4,5524
1911,Red Ames,4.4,1000210
1896,Dad Clarke,4.4,1002273
2010,Tim Lincecum,4.3,5705
2016,Madison Bumgarner,4.3,5524
1908,Hooks Wiltse,4.3,1014116
1965,Bob Shaw,4.3,1011819
1931,Bill Walker,4.2,1013508
1929,Carl Hubbell,4.2,1006123
1986,Mike Krukow,4.2,1007185
1907,Joe McGinnity,4.2,1008527
1959,Johnny Antonelli,4.1,1000277
1947,Larry Jansen,4.1,1006358
2007,Matt Cain,4.1,4732
1895,Dad Clarke,4.1,1002273
1919,Jesse Barnes,4.1,1000566
1949,Dave Koslo,4.0,1007118
2010,Matt Cain,4.0,4732
1971,Juan Marichal,4.0,1008106
1906,Hooks Wiltse,4.0,1014116
1967,Ray Sadecki,4.0,1011360
1886,Mickey Welch,4.0,1013757
1955,Johnny Antonelli,3.9,1000277
1988,Rick Reuschel,3.9,1010852
1945,Van Mungo,3.9,1009321
1893,Mark Baldwin,3.9,1000484
1960,Sam Jones,3.9,1006590
1931,Carl Hubbell,3.9,1006123
1935,Carl Hubbell,3.9,1006123
1905,Joe McGinnity,3.9,1008527
2006,Jason Schmidt,3.8,1131
1989,Scott Garrelts,3.8,1004546
1891,John Ewing,3.8,1003882
2006,Matt Cain,3.8,4732
1902,Christy Mathewson,3.8,1008235
1910,Hooks Wiltse,3.8,1014116
1904,Dummy Taylor,3.8,1012867
2017,Jeff Samardzija,3.8,3254
1925,Jack Scott,3.8,1011683
1963,Jack Sanford,3.8,1011432
1954,Sal Maglie,3.7,1007968
1906,Christy Mathewson,3.7,1008235
1909,Hooks Wiltse,3.7,1014116
