Season,Name,WAR,playerid
2002,Barry Bonds,12.7,1109
2001,Barry Bonds,12.5,1109
2004,Barry Bonds,11.9,1109
1965,Willie Mays,10.7,1008315
1962,Willie Mays,10.5,1008315
1993,Barry Bonds,10.5,1109
1964,Willie Mays,10.5,1008315
1927,Rogers Hornsby,10.4,1006030
1954,Willie Mays,10.3,1008315
2003,Barry Bonds,10.2,1109
2012,Buster Posey,10.1,9166
1963,Willie Mays,9.8,1008315
1958,Willie Mays,9.7,1008315
1996,Barry Bonds,9.2,1109
1955,Willie Mays,9.0,1008315
1997,Barry Bonds,8.9,1109
1938,Mel Ott,8.7,1009904
1998,Barry Bonds,8.5,1109
1966,Willie Mays,8.5,1008315
1957,Willie Mays,8.4,1008315
1960,Willie Mays,8.3,1008315
1961,Willie Mays,8.3,1008315
1885,Roger Connor,8.2,1002537
1930,Bill Terry,8.2,1012927
1989,Will Clark,8.1,1002318
1932,Mel Ott,8.1,1009904
1929,Mel Ott,8.0,1009904
1936,Mel Ott,7.9,1009904
1906,Art Devlin,7.9,1003248
1969,Willie McCovey,7.9,1008423
1995,Barry Bonds,7.7,1109
1950,Eddie Stanky,7.7,1012406
1935,Mel Ott,7.7,1009904
2000,Barry Bonds,7.6,1109
2014,Buster Posey,7.6,9166
1921,Dave Bancroft,7.6,1000503
1888,Roger Connor,7.5,1002537
1924,Frankie Frisch,7.5,1004364
1923,Frankie Frisch,7.5,1004364
1959,Willie Mays,7.4,1008315
1905,Mike Donlin,7.4,1003380
2000,Jeff Kent,7.4,1119
1973,Bobby Bonds,7.4,1001157
1886,Roger Connor,7.3,1002537
1934,Mel Ott,7.3,1009904
1921,Frankie Frisch,7.2,1004364
1932,Bill Terry,7.2,1012927
1887,John Ward,7.1,1013615
2001,Rich Aurilia,7.1,1106
1897,George Davis,7.1,1003049
1968,Willie McCovey,7.0,1008423
1914,George Burns,7.0,1001708
2013,Buster Posey,6.9,9166
1956,Willie Mays,6.9,1008315
1989,Kevin Mitchell,6.9,1009004
1922,Dave Bancroft,6.9,1000503
1930,Freddie Lindstrom,6.9,1007631
1930,Mel Ott,6.9,1009904
1970,Willie McCovey,6.8,1008423
1928,Freddie Lindstrom,6.8,1007631
1947,Johnny Mize,6.8,1009014
2015,Buster Posey,6.8,9166
1920,Ross Youngs,6.8,1014390
2016,Buster Posey,6.7,9166
1917,George Burns,6.7,1001708
1937,Mel Ott,6.7,1009904
1890,Jack Glasscock,6.7,1004757
1968,Willie Mays,6.7,1008315
2002,Jeff Kent,6.7,1119
1917,Art Fletcher,6.6,1004149
1937,Dick Bartell,6.6,1000621
1908,Mike Donlin,6.6,1003380
1951,Monte Irvin,6.4,1006275
1929,Travis Jackson,6.4,1006314
1887,Roger Connor,6.4,1002537
1942,Mel Ott,6.3,1009904
1931,Bill Terry,6.3,1012927
1963,Willie McCovey,6.3,1008423
2010,Andres Torres,6.3,1488
1924,Ross Youngs,6.3,1014390
1936,Dick Bartell,6.2,1000621
1971,Bobby Bonds,6.2,1001157
1948,Johnny Mize,6.2,1009014
1889,Roger Connor,6.2,1002537
1969,Bobby Bonds,6.2,1001157
1966,Jim Ray Hart,6.1,1005448
1993,Robby Thompson,6.1,1013023
1893,George Davis,6.0,1003049
1972,Chris Speier,6.0,1012316
1994,Barry Bonds,6.0,1109
1946,Johnny Mize,6.0,1009014
1916,Art Fletcher,6.0,1004149
1966,Willie McCovey,5.9,1008423
1911,Larry Doyle,5.9,1003467
1934,Bill Terry,5.9,1012927
1993,Matt Williams,5.9,77
1889,Mike Tiernan,5.9,1013062
1904,Bill Dahlen,5.9,1002924
1971,Willie Mays,5.9,1008315
1931,Mel Ott,5.8,1009904
1988,Brett Butler,5.8,1001772
1919,George Burns,5.8,1001708
1912,Larry Doyle,5.8,1003467
1942,Johnny Mize,5.8,1009014
1891,Roger Connor,5.7,1002537
1988,Will Clark,5.7,1002318
1965,Willie McCovey,5.7,1008423
2010,Aubrey Huff,5.7,1213
1978,Jack Clark,5.7,1002288
1896,Mike Tiernan,5.7,1013062
1905,Bill Dahlen,5.7,1002924
1927,George Harper,5.7,1005378
1939,Mel Ott,5.6,1009904
1949,Bobby Thomson,5.6,1013032
1909,Al Bridwell,5.6,1001422
1928,Travis Jackson,5.6,1006314
1967,Jim Ray Hart,5.6,1005448
1961,Orlando Cepeda,5.5,1002103
1970,Bobby Bonds,5.5,1001157
1894,George Davis,5.5,1003049
1933,Mel Ott,5.4,1009904
1904,Art Devlin,5.4,1003248
1931,Travis Jackson,5.4,1006314
1908,Roger Bresnahan,5.4,1001396
1903,Roger Bresnahan,5.4,1001396
1927,Bill Terry,5.4,1012927
1989,Robby Thompson,5.4,1013023
1920,Dave Bancroft,5.4,1000503
1929,Bill Terry,5.4,1012927
1905,Dan McGann,5.3,1008501
1948,Sid Gordon,5.3,1004877
1963,Orlando Cepeda,5.3,1002103
1917,Benny Kauff,5.3,1006715
1930,Travis Jackson,5.3,1006314
1944,Mel Ott,5.3,1009904
1900,Kip Selbach,5.3,1011731
2011,Pablo Sandoval,5.3,5409
1982,Joe Morgan,5.2,1009179
1927,Travis Jackson,5.2,1006314
2016,Brandon Crawford,5.2,5343
1951,Alvin Dark,5.2,1002987
1917,Heinie Zimmerman,5.2,1014444
2009,Pablo Sandoval,5.2,5409
1964,Jim Ray Hart,5.2,1005448
1970,Dick Dietz,5.1,1003290
2008,Randy Winn,5.1,1235
1952,Alvin Dark,5.1,1002987
1935,Hank Leiber,5.1,1007490
1910,Fred Snodgrass,5.1,1012234
1951,Bobby Thomson,5.1,1013032
1991,Will Clark,5.1,1002318
1947,Walker Cooper,5.1,1002601
1924,George Kelly,5.0,1006799
1940,Mel Ott,5.0,1009904
1947,Willard Marshall,5.0,1008148
1991,Matt Williams,5.0,77
1951,Eddie Stanky,5.0,1012406
1899,George Davis,5.0,1003049
1888,Mike Tiernan,5.0,1013062
1990,Matt Williams,5.0,77
1907,Art Devlin,5.0,1003248
1950,Hank Thompson,5.0,1013012
1913,Art Fletcher,4.9,1004149
1935,Bill Terry,4.9,1012927
1904,Dan McGann,4.9,1008501
1922,Frankie Frisch,4.9,1004364
2001,Jeff Kent,4.9,1119
1967,Willie McCovey,4.8,1008423
1893,Roger Connor,4.8,1002537
1926,Frankie Frisch,4.8,1004364
1972,Bobby Bonds,4.8,1001157
1891,Mike Tiernan,4.8,1013062
1920,George Burns,4.8,1001708
1898,Bill Joyce,4.8,1006633
1883,Roger Connor,4.8,1002537
1962,Felipe Alou,4.8,1000177
1970,Willie Mays,4.8,1008315
2017,Buster Posey,4.7,9166
1953,Monte Irvin,4.7,1006275
1888,Buck Ewing,4.7,1003881
1908,Al Bridwell,4.7,1001422
1896,George Davis,4.7,1003049
1941,Mel Ott,4.7,1009904
1949,Sid Gordon,4.7,1004877
1904,Sam Mertes,4.7,1008794
1915,Larry Doyle,4.7,1003467
1906,Roger Bresnahan,4.7,1001396
1919,Art Fletcher,4.7,1004149
1991,Robby Thompson,4.6,1013023
1945,Mel Ott,4.6,1009904
1984,Chili Davis,4.6,1003041
1922,George Kelly,4.6,1006799
2012,Angel Pagan,4.6,2918
1901,George Davis,4.6,1003049
1990,Brett Butler,4.6,1001772
1918,George Burns,4.6,1001708
1964,Orlando Cepeda,4.6,1002103
1953,Hank Thompson,4.6,1013012
1909,Art Devlin,4.6,1003248
1892,Buck Ewing,4.6,1003881
1883,Buck Ewing,4.5,1003881
1954,Hank Thompson,4.5,1013012
2013,Hunter Pence,4.5,8252
1922,Ross Youngs,4.5,1014390
1906,Sammy Strang,4.5,1012599
1890,Mike Tiernan,4.5,1013062
2012,Melky Cabrera,4.5,4022
1909,Larry Doyle,4.5,1003467
1884,Buck Ewing,4.5,1003881
1995,Matt Williams,4.5,77
1912,Chief Meyers,4.5,1008823
1919,Ross Youngs,4.5,1014390
1926,Travis Jackson,4.5,1006314
1994,Matt Williams,4.5,77
1903,Sam Mertes,4.5,1008794
1974,Bobby Bonds,4.4,1001157
1895,George Davis,4.4,1003049
1970,Ken Henderson,4.4,1005634
1889,Buck Ewing,4.4,1003881
1895,Mike Tiernan,4.4,1013062
2015,Matt Duffy,4.4,13836
2000,Ellis Burks,4.4,372
1905,Art Devlin,4.4,1003248
1928,Bill Terry,4.4,1012927
1950,Alvin Dark,4.4,1002987
1896,George Van Haltren,4.4,1013357
1908,Art Devlin,4.4,1003248
1978,Bill Madlock,4.4,1007957
1952,Bobby Thomson,4.3,1013032
1911,Fred Merkle,4.3,1008783
1918,Art Fletcher,4.3,1004149
1914,Art Fletcher,4.3,1004149
1910,Larry Doyle,4.3,1003467
1944,Phil Weintraub,4.3,1013741
2015,Brandon Crawford,4.3,5343
1963,Felipe Alou,4.2,1000177
1998,Jeff Kent,4.2,1119
1983,Darrell Evans,4.2,1003864
1923,Ross Youngs,4.2,1014390
1911,Fred Snodgrass,4.2,1012234
1921,Ross Youngs,4.2,1014390
1978,Darrell Evans,4.2,1003864
1962,Jim Davenport,4.2,1003017
1990,Kevin Mitchell,4.2,1009004
2013,Brandon Belt,4.2,10264
1987,Will Clark,4.1,1002318
1980,Darrell Evans,4.1,1003864
1967,Willie Mays,4.1,1008315
1923,Dave Bancroft,4.1,1000503
1951,Wes Westrum,4.1,1013812
1971,Ken Henderson,4.1,1005634
1921,George Kelly,4.1,1006799
1997,Jeff Kent,4.1,1119
1900,George Davis,4.1,1003049
1980,Jack Clark,4.1,1002288
1928,Mel Ott,4.1,1009904
1893,John Ward,4.1,1013615
1975,Chris Speier,4.1,1012316
2014,Hunter Pence,4.0,8252
1885,Jim O'Rourke,4.0,1009839
1898,George Van Haltren,4.0,1013357
1925,Frankie Frisch,4.0,1004364
2010,Buster Posey,4.0,9166
1905,Sam Mertes,4.0,1008794
1971,Dick Dietz,4.0,1003290
1889,Danny Richardson,4.0,1010904
1924,Travis Jackson,4.0,1006314
1922,Irish Meusel,4.0,1008818
1904,Roger Bresnahan,4.0,1001396
1898,George Davis,4.0,1003049
1938,Dick Bartell,3.9,1000621
1953,Alvin Dark,3.9,1002987
1913,Tillie Shafer,3.9,1011780
2015,Brandon Belt,3.9,10264
1950,Wes Westrum,3.9,1013812
1919,Larry Doyle,3.9,1003467
1928,Shanty Hogan,3.9,1005924
1939,Harry Danning,3.9,1002978
1986,Chili Davis,3.9,1003041
1901,George Van Haltren,3.9,1013357
1907,Cy Seymour,3.9,1011777
1948,Whitey Lockman,3.9,1007694
1982,Jack Clark,3.9,1002288
1973,Garry Maddox,3.9,1007948
2016,Brandon Belt,3.9,10264
1925,George Kelly,3.9,1006799
1967,Tom Haller,3.9,1005244
1916,Benny Kauff,3.9,1006715
2004,J.T. Snow,3.9,1133
1951,Willie Mays,3.9,1008315
1933,Bill Terry,3.8,1012927
1910,Al Bridwell,3.8,1001422
1886,Jim O'Rourke,3.8,1009839
1949,Willard Marshall,3.8,1008148
1894,Jack Doyle,3.8,1003461
1941,Billy Jurges,3.8,1006653
2015,Joe Panik,3.8,11936
1887,Danny Richardson,3.8,1010904
1885,Buck Ewing,3.8,1003881
1934,Travis Jackson,3.8,1006314
1944,Joe Medwick,3.8,1008719
1939,Billy Jurges,3.8,1006653
1911,Art Fletcher,3.8,1004149
1984,Bob Brenly,3.8,1001386
1891,Danny Richardson,3.8,1010904
1916,Dave Robertson,3.8,1011027
1997,Stan Javier,3.7,1006372
1945,Ernie Lombardi,3.7,1007718
1904,Billy Gilbert,3.7,1004686
1962,Tom Haller,3.7,1005244
1968,Ron Hunt,3.7,1006212
1913,Larry Doyle,3.7,1003467
1992,Will Clark,3.7,1002318
1897,Bill Joyce,3.6,1006633
1934,Jo-Jo Moore,3.6,1009117
2005,Randy Winn,3.6,1235
1973,Willie McCovey,3.6,1008423
2006,Ray Durham,3.6,230
1939,Zeke Bonura,3.6,1001176
1999,Jeff Kent,3.6,1119
1987,Mike Aldrete,3.6,1000114
1935,Jo-Jo Moore,3.6,1009117
1960,Orlando Cepeda,3.6,1002103
1954,Alvin Dark,3.6,1002987
1900,George Van Haltren,3.6,1013357
1910,Fred Merkle,3.6,1008783
1913,George Burns,3.6,1001708
1910,Red Murray,3.5,1009397
1911,Chief Meyers,3.5,1008823
1973,Gary Matthews,3.5,1008255
1889,George Gore,3.5,1004879
1905,Roger Bresnahan,3.5,1001396
1965,Jim Ray Hart,3.5,1005448
1912,Buck Herzog,3.5,1005745
1959,Orlando Cepeda,3.5,1002103
1907,Roger Bresnahan,3.5,1001396
1888,Danny Richardson,3.5,1010904
1969,Ron Hunt,3.5,1006212
1949,Whitey Lockman,3.5,1007694
1915,Art Fletcher,3.5,1004149
1997,J.T. Snow,3.4,1133
1924,Heinie Groh,3.4,1005078
1974,Gary Matthews,3.4,1008255
1933,Johnny Vergez,3.4,1013413
1921,George Burns,3.4,1001708
1966,Tom Haller,3.4,1005244
1940,Harry Danning,3.4,1002978
1893,Mike Tiernan,3.4,1013062
1963,Ed Bailey,3.4,1000421
1918,Ross Youngs,3.4,1014390
1913,Fred Snodgrass,3.4,1012234
1908,Fred Tenney,3.4,1012916
1913,Chief Meyers,3.4,1008823
1999,Barry Bonds,3.3,1109
2006,Omar Vizquel,3.3,411
1897,Mike Tiernan,3.3,1013062
1922,Casey Stengel,3.3,1012481
1962,Orlando Cepeda,3.3,1002103
1926,George Kelly,3.3,1006799
1906,Bill Dahlen,3.3,1002924
1897,George Van Haltren,3.3,1013357
2005,Moises Alou,3.3,261
1920,Larry Doyle,3.3,1003467
1983,Jack Clark,3.3,1002288
1919,Benny Kauff,3.3,1006715
1933,Hughie Critz,3.3,1002780
1892,Mike Tiernan,3.3,1013062
1984,Dan Gladden,3.3,1004750
1916,Larry Doyle,3.3,1003467
1923,Heinie Groh,3.3,1005078
1984,Jeffrey Leonard,3.3,1007535
1987,Bob Brenly,3.3,1001386
2014,Pablo Sandoval,3.2,5409
1925,Irish Meusel,3.2,1008818
1993,Kirt Manwaring,3.2,1008091
2006,Barry Bonds,3.2,1109
1940,Babe Young,3.2,1014363
1912,Art Fletcher,3.2,1004149
2007,Barry Bonds,3.2,1109
1964,Tom Haller,3.2,1005244
1895,George Van Haltren,3.2,1013357
1950,Monte Irvin,3.2,1006275
1908,Larry Doyle,3.2,1003467
1990,Will Clark,3.2,1002318
2003,Jose Cruz,3.2,1296
1937,Burgess Whitehead,3.2,1013856
1926,Freddie Lindstrom,3.1,1007631
1998,Bill Mueller,3.1,295
1968,Jim Ray Hart,3.1,1005448
1958,Daryl Spencer,3.1,1012321
1977,Gary Thomasson,3.1,1012977
1912,Fred Merkle,3.1,1008783
1983,Jeffrey Leonard,3.1,1007535
1952,Whitey Lockman,3.1,1007694
1927,Freddie Lindstrom,3.1,1007631
2003,Ray Durham,3.1,230
1959,Willie McCovey,3.1,1008423
1916,George Burns,3.1,1001708
2004,Ray Durham,3.1,230
1914,Milt Stock,3.1,1012551
2002,Reggie Sanders,3.1,1129
1885,Mike Dorgan,3.1,1003410
2002,David Bell,3.1,1108
1947,Bobby Thomson,3.1,1013032
1961,Jim Davenport,3.1,1003017
1992,Robby Thompson,3.0,1013023
1923,George Kelly,3.0,1006799
1941,Dick Bartell,3.0,1000621
1929,Freddie Lindstrom,3.0,1007631
1899,Mike Grady,3.0,1004917
1985,Chris Brown,3.0,1001503
1952,Hank Thompson,3.0,1013012
1935,Dick Bartell,3.0,1000621
1884,Roger Connor,3.0,1002537
1887,Buck Ewing,3.0,1003881
1911,Josh Devore,3.0,1003254
1981,Darrell Evans,3.0,1003864
1986,Chris Brown,3.0,1001503
1958,Orlando Cepeda,3.0,1002103
1943,Mel Ott,3.0,1009904
1992,Kirt Manwaring,3.0,1008091
1936,Burgess Whitehead,3.0,1013856
1909,Red Murray,3.0,1009397
1886,John Ward,3.0,1013615
1883,Pete Gillespie,3.0,1004715
1936,Jo-Jo Moore,3.0,1009117
1914,Bob Bescher,3.0,1000921
1944,Buddy Kerr,2.9,1006870
1939,Frank Demaree,2.9,1003190
1907,Sammy Strang,2.9,1012599
1974,Chris Speier,2.9,1012316
1985,Chili Davis,2.9,1003041
1914,Larry Doyle,2.9,1003467
1969,Willie Mays,2.9,1008315
