Season,Name,WAR,playerid
2019,Charlie Morton,6.1,4676
2015,Chris Archer,5.1,6345
2007,Scott Kazmir,4.8,4897
2011,James Shields,4.8,7059
2011,David Price,4.8,3184
2018,Blake Snell,4.7,13543
2017,Chris Archer,4.5,6345
2012,David Price,4.3,3184
2010,David Price,4.3,3184
2008,James Shields,4.1,7059
2007,James Shields,4.0,7059
2013,David Price,4.0,3184
2008,Andy Sonnanstine,3.9,7667
2012,James Shields,3.8,7059
2006,Scott Kazmir,3.6,4897
2005,Scott Kazmir,3.6,4897
2009,James Shields,3.4,7059
2008,Matt Garza,3.3,3340
1998,Rolando Arrojo,3.3,174
2014,David Price,3.3,3184
1998,Tony Saunders,3.2,1011463
2016,Chris Archer,2.9,6345
2014,Chris Archer,2.9,6345
2015,Jake Odorizzi,2.9,6397
2000,Bryan Rekar,2.8,625
2009,Matt Garza,2.8,3340
2009,Jeff Niemann,2.8,8591
2019,Blake Snell,2.7,13543
2019,Ryan Yarbrough,2.7,16502
2002,Joe Kennedy,2.5,1217
2014,Alex Cobb,2.5,6562
2014,Jake McGee,2.5,7550
2012,Matt Moore,2.4,1890
2008,Scott Kazmir,2.3,4897
2015,Erasmo Ramirez,2.3,10314
2019,Tyler Glasnow,2.3,14374
2008,Grant Balfour,2.3,718
2013,Alex Cobb,2.3,6562
2004,Mark Hendrickson,2.2,1574
2017,Alex Cobb,2.2,6562
1999,Roberto Hernandez,2.2,605
2012,Fernando Rodney,2.2,494
2010,James Shields,2.1,7059
2018,Jose Alvarado,2.1,17780
2010,Matt Garza,2.1,3340
2011,Jeremy Hellickson,2.0,4371
2016,Matt Andriese,1.9,12022
2000,Steve Trachsel,1.9,898
2000,Albie Lopez,1.9,102
2012,Jake McGee,1.9,7550
2010,Rafael Soriano,1.9,1100
2007,Andy Sonnanstine,1.9,7667
2016,Jake Odorizzi,1.8,6397
1999,Wilson Alvarez,1.8,1193
1999,Ryan Rupe,1.8,1223
2012,Alex Cobb,1.8,6562
2016,Drew Smyly,1.8,11760
1999,Bobby Witt,1.8,1014170
2017,Blake Snell,1.8,13543
2018,Chris Archer,1.8,6345
2014,Jake Odorizzi,1.8,6397
2015,Alex Colome,1.8,6661
2016,Blake Snell,1.8,13543
2013,Matt Moore,1.7,1890
2006,James Shields,1.7,7059
2011,Jeff Niemann,1.7,8591
2010,Joaquin Benoit,1.7,1437
2003,Geremi Gonzalez,1.7,1711
2005,Mark Hendrickson,1.6,1574
2000,Paul Wilson,1.6,1234
1999,Rick White,1.6,456
2008,J.P. Howell,1.5,8245
2005,Casey Fossum,1.5,188
