Season,Name,WAR,playerid
2009,Ben Zobrist,8.7,7435
2010,Carl Crawford,7.7,1201
2010,Evan Longoria,7.5,9368
2009,Evan Longoria,7.2,9368
2011,Ben Zobrist,6.4,7435
2011,Evan Longoria,6.3,9368
2009,Carl Crawford,5.9,1201
2007,Carlos Pena,5.9,934
2012,Ben Zobrist,5.7,7435
2008,Evan Longoria,5.6,9368
2013,Evan Longoria,5.5,9368
2009,Jason Bartlett,5.3,8219
2004,Carl Crawford,5.1,1201
2008,Melvin Upton Jr.,4.8,5015
2005,Carl Crawford,4.8,1201
2014,Ben Zobrist,4.7,7435
2006,Carl Crawford,4.7,1201
2002,Randy Winn,4.6,1235
2005,Julio Lugo,4.6,565
2004,Aubrey Huff,4.5,1213
2007,Melvin Upton Jr.,4.5,5015
2016,Evan Longoria,4.5,9368
2015,Kevin Kiermaier,4.3,11038
2013,Ben Zobrist,4.2,7435
2019,Austin Meadows,4.1,15672
2015,Logan Forsythe,4.1,7185
2016,Kevin Kiermaier,4.0,11038
2010,Melvin Upton Jr.,3.9,5015
2010,Ben Zobrist,3.8,7435
2018,Joey Wendle,3.8,13853
2015,Evan Longoria,3.8,9368
2008,Carlos Pena,3.8,934
2011,Melvin Upton Jr.,3.8,5015
2017,Steven Souza Jr.,3.8,5667
2004,Julio Lugo,3.7,565
2011,Matt Joyce,3.6,3353
2014,Evan Longoria,3.6,9368
1999,Fred McGriff,3.6,293
2012,Jose Molina,3.6,25
2018,Mallex Smith,3.5,13608
2006,Rocco Baldelli,3.4,1656
2003,Travis Lee,3.4,958
2012,Melvin Upton Jr.,3.4,5015
2019,Tommy Pham,3.3,2967
2007,Carl Crawford,3.3,1201
2017,Kevin Kiermaier,3.3,11038
2017,Logan Morrison,3.2,9205
2012,Desmond Jennings,3.2,1965
2003,Julio Lugo,3.2,565
2003,Aubrey Huff,3.1,1213
1998,Fred McGriff,3.1,293
2013,Desmond Jennings,3.1,1965
2007,Akinori Iwamura,3.1,7781
2013,Yunel Escobar,3.0,4191
2008,Akinori Iwamura,3.0,7781
2019,Willy Adames,2.9,15986
2009,Carlos Pena,2.8,934
2014,Kevin Kiermaier,2.8,11038
2008,Carl Crawford,2.8,1201
2016,Logan Forsythe,2.7,7185
2014,Desmond Jennings,2.7,1965
2005,Jonny Gomes,2.7,1845
2012,Jeff Keppinger,2.7,3856
2017,Corey Dickerson,2.6,10762
2015,Asdrubal Cabrera,2.6,4962
2019,Brandon Lowe,2.6,18882
2018,Tommy Pham,2.6,2967
2018,Matt Duffy,2.5,13836
2017,Evan Longoria,2.5,9368
2011,Desmond Jennings,2.5,1965
1998,Miguel Cairo,2.4,1412
2018,Daniel Robertson,2.4,14145
2006,Julio Lugo,2.4,565
1999,Jose Canseco,2.4,1001918
2001,Fred McGriff,2.4,293
2007,Brendan Harris,2.4,2178
1998,Bobby Smith,2.4,1493
2020,Brandon Lowe,2.4,18882
2009,Melvin Upton Jr.,2.3,5015
2011,Casey Kotchman,2.3,1930
2016,Brad Miller,2.3,12775
2013,Wil Myers,2.3,10047
2013,James Loney,2.2,4556
2000,Greg Vaughn,2.2,1233
2018,C.J. Cron,2.2,12546
2004,Rocco Baldelli,2.2,1656
2003,Marlon Anderson,2.2,947
2011,Sean Rodriguez,2.1,6589
2013,Jose Molina,2.1,25
2005,Alex Gonzalez,2.1,281
2010,Sean Rodriguez,2.1,6589
2008,Gabe Gross,2.1,2184
1999,John Flaherty,2.0,1206
2013,Matt Joyce,2.0,3353
2012,Evan Longoria,2.0,9368
2008,Eric Hinske,2.0,1305
2002,Aubrey Huff,2.0,1213
2019,Ji-Man Choi,2.0,5452
2004,Jose Cruz,2.0,1296
2015,Brandon Guyer,1.9,2636
2012,Matt Joyce,1.9,3353
2003,Carl Crawford,1.9,1201
2003,Damian Rolls,1.9,1222
2010,Matt Joyce,1.9,3353
2008,Jason Bartlett,1.9,8219
2019,Avisail Garcia,1.9,5760
2019,Travis d'Arnaud,1.8,7739
2002,Jared Sandberg,1.8,1224
2011,Sam Fuld,1.8,8254
2003,Rocco Baldelli,1.8,1656
2016,Steve Pearce,1.7,9957
2014,Brandon Guyer,1.7,2636
2014,Ryan Hanigan,1.7,4952
2004,Tino Martinez,1.7,1168
1998,Aaron Ledesma,1.7,1007444
2013,Jose Lobaton,1.6,4243
2018,Kevin Kiermaier,1.6,11038
2018,Wilson Ramos,1.6,1433
2019,Yandy Diaz,1.6,16578
2019,Kevin Kiermaier,1.5,11038
2015,Mikie Mahtook,1.5,13130
1998,Quinton McCracken,1.5,1377
2008,Ben Zobrist,1.5,7435
2015,Steven Souza Jr.,1.5,5667
2014,Matt Joyce,1.5,3353
2002,Chris Gomez,1.5,1208
2017,Tim Beckham,1.5,7949
2001,Chris Gomez,1.5,1208
2020,Willy Adames,1.5,15986
2005,Toby Hall,1.5,1210
2010,Reid Brignac,1.5,8380
2011,Johnny Damon,1.5,185
2000,Felix Martinez,1.4,1008164
1998,Wade Boggs,1.4,1001124
2001,Russ Johnson,1.4,1216
2008,Willy Aybar,1.4,2192
2005,Joey Gathright,1.4,3913
2018,Willy Adames,1.4,15986
1999,Tony Graffanino,1.4,235
1999,Bubba Trammell,1.3,1057
2020,Kevin Kiermaier,1.3,11038
2006,Ty Wigginton,1.3,1491
2001,Ben Grieve,1.3,1209
1999,Mike DiFelice,1.3,1151
2010,Jason Bartlett,1.3,8219
2003,Toby Hall,1.3,1210
2017,Adeiny Hechavarria,1.2,10459
2006,Greg Norton,1.2,1388
2000,Russ Johnson,1.2,1216
2009,Gregg Zaun,1.2,580
2005,Nick Green,1.2,1502
2015,Curt Casali,1.2,12510
2017,Colby Rasmus,1.2,9893
2008,Fernando Perez,1.1,7755
2017,Jesus Sucre,1.1,5942
1998,Kevin Stocker,1.1,1012549
2016,Corey Dickerson,1.1,10762
2013,Kelly Johnson,1.1,2234
2020,Mike Brosseau,1.1,19683
2006,Aubrey Huff,1.1,1213
2018,Ji-Man Choi,1.1,5452
2001,Toby Hall,1.1,1210
2005,Jorge Cantu,1.1,2521
2001,Greg Vaughn,1.1,1233
2010,Carlos Pena,1.0,934
2004,Rey Sanchez,1.0,213
2005,Travis Lee,1.0,958
2020,Joey Wendle,1.0,13853
2006,Delmon Young,1.0,2140
2016,Tim Beckham,1.0,7949
2002,Jason Conti,1.0,1199
2010,John Jaso,1.0,5887
2009,Akinori Iwamura,1.0,7781
2002,Andy Sheets,0.9,1226
2002,Ben Grieve,0.9,1209
2007,Jorge Velandia,0.9,900
2004,Jorge Cantu,0.9,2521
2009,Gabe Kapler,0.9,1256
2013,Sean Rodriguez,0.9,6589
1998,Bubba Trammell,0.9,1057
1999,Kevin Stocker,0.9,1012549
2017,Mallex Smith,0.9,13608
2014,James Loney,0.9,4556
2016,Steven Souza Jr.,0.9,5667
2018,Brandon Lowe,0.9,18882
2000,Steve Cox,0.9,1200
2003,Jared Sandberg,0.8,1224
2020,Randy Arozarena,0.8,19290
2000,Jose Canseco,0.8,1001918
2020,Yandy Diaz,0.8,16578
2003,Antonio Perez,0.8,1708
2016,Brandon Guyer,0.8,2636
2012,Ryan Roberts,0.7,5653
2002,John Flaherty,0.7,1206
2001,Brent Abernathy,0.7,1192
2002,Carl Crawford,0.7,1201
2018,Jake Bauers,0.7,15194
2015,John Jaso,0.7,5887
2016,Curt Casali,0.7,12510
2012,Elliot Johnson,0.7,4751
2019,Mike Brosseau,0.7,19683
2003,Rey Ordonez,0.6,889
2000,Ozzie Guillen,0.6,1005125
2018,Denard Span,0.6,8347
2007,Jonny Gomes,0.6,1845
2012,Carlos Pena,0.6,934
2012,Chris Gimenez,0.6,7324
2020,Manuel Margot,0.6,14712
2009,Gabe Gross,0.6,2184
2018,Adeiny Hechavarria,0.6,10459
2019,Joey Wendle,0.6,13853
2011,Kelly Shoppach,0.6,3867
2008,Cliff Floyd,0.6,518
2015,J.P. Arencibia,0.6,697
2016,Logan Morrison,0.5,9205
2001,Steve Cox,0.5,1200
2005,Eduardo Perez,0.5,1409
2014,David DeJesus,0.5,1825
2006,Joey Gathright,0.5,3913
2000,Kevin Stocker,0.5,1012549
2019,Nate Lowe,0.5,19566
2012,Sam Fuld,0.5,8254
